position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",BsK693uthsk,2026-04-27T18:42:03Z,"2026-04-27 18:42:03","سخفات ليهم بالغناء! حجيب جاتو رطبة و سخونة فبرنامج النجم الشعبي","🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة,lalla laaroussa,لالة لعروسة,لالة لعروسة 2026,النجم الشعبي,النجم الشعبي 2026,عقارات المغرب,عقارات,ecommerce",23,Comedy,"Entertainment,Television_program",PT16M56S,1016,2d,hd,false,ar,ar,https://i.ytimg.com/vi/BsK693uthsk/maxresdefault.jpg,1,,,,,379640,27920,,0,1442
2,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",z91tG6kM5Ug,2026-04-21T21:16:17Z,"2026-04-21 21:16:17","ترونات فدار لعرسان! لالة لعروسة بكات حيت حكروها فالفيلا الفاخرة","في هذا الفيديو الجديد من برنامج لالة العروسة، نغوص في كواليس دار العرسان داخل الفيلا الفاخرة، حيث تصاعدت الأحداث بشكل مثير بين المشاركين. نناقش أبرز التطورات التي شهدها الصراع داخل الدار، خاصة المواجهة القوية بين إحدى الأمهات وإحدى العروسات التي شعرت بالظلم، مما خلق أجواء مشحونة بالتوتر والانقسام بين باقي المتسابقين. كما نتوقف عند اللحظة التي تم فيها توجيه نصيحة للعروس الصغيرة بضرورة احترام السن رغم كل الخلافات، وهو ما فتح بابا للنقاش حول حدود الاحترام داخل المنافسة. الحلقة عرفت كذلك تحولات مفاجئة في سلوك بعض المشاركين، توتر كبير داخل الفيلا وتغير في طريقة التعامل بين الأزواج، ما أثر بشكل واضح على أجواء البرنامج ومسار المنافسة 🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة,لالة لعروسة,دار لعرسان,كوبل فاس,كوبل تارودانت,كوبل تاونات,البرايم الثاني لالة لعروسة,lalla la3rousa,dar l3rsan,prime 2,al aoula,2m,princessa,princessa tanger,برنسيسة,دار لعرسان الحلقة 17,السعدية لديب,k1,سلسلة بوليسية,قسمة و نصيب,dar l3ersan ep 17,lalla la3rousa 2026",23,Comedy,"Entertainment,Television_program",PT20M8S,1208,2d,hd,false,ar,ar,https://i.ytimg.com/vi/z91tG6kM5Ug/maxresdefault.jpg,1,,,,,706979,29824,,0,1190
3,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",oQ1MiUy6-CU,2026-04-14T23:22:24Z,"2026-04-14 23:22:24","لالة لعروسة جهلات! نوضوها فالفيلا الفاخرة و جوعوهم فدار لعرسان","في هذا الفيديو نأخذكم في جولة داخل كواليس برنامج لالة لعروسة، حيث التنافس القوي بين الأزواج داخل دار العرسان يتحول أحيانا إلى لحظات توتر ومشادات حادة! 😮🔥 سنستعرض أبرز الشجارات والمواقف المثيرة التي وقعت بين المشاركين، وكيف تؤثر الضغوط اليومية والتحديات الصعبة على علاقاتهم. هل هي مجرد منافسة أم أن المشاعر تخرج عن السيطرة؟ 🤔 كما سنحلل الأسباب الحقيقية وراء هذه الخلافات، وردود فعل الجمهور، وهل هذه الصراعات طبيعية أم مفتعلة لزيادة الإثارة؟ 💬 شاركونا آراءكم في التعليقات: هل ترون أن ما يحدث حقيقي أم مجرد تمثيل؟ ومن هو الزوج الذي تعاطفتم معه أكثر؟ 🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة,dar l3ersan,dar l3arsan 2026,lalla la3rousa,lalla laarousa 2026,برنسيسة,لالة لعروسة 2026,السعدية لاديب,برايم,النجم الشعبي,دار لعرسان,تارودانت,كوبل طنجة,ايمان و عماد",23,Comedy,Television_program,PT18M33S,1113,2d,hd,false,ar,ar,https://i.ytimg.com/vi/oQ1MiUy6-CU/maxresdefault.jpg,1,,,,,844197,39082,,0,1878
4,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",MkhLTahJi0Y,2026-03-31T22:26:04Z,"2026-03-31 22:26:04","شبكات بين اللحايا! شفر ليه مراتو المنقبة أسرار خطيرة قالها مول الفوقية قدام الملايين","في هذه الحلقة نناقش جدلا واسعا أثار اهتمام المتابعين، بعد ظهور داعية في أحد البرامج ودخوله في نقاش حاد مع مجموعة من الشيوخ حول قضايا اجتماعية وسلوكية. تطوّر الحوار سريعا إلى تبادل اتهامات وانتقادات علنية، حيث طُرحت تساؤلات حول حدود التعامل والاختلاط، وما يُعد مقبولا أو مرفوضًا في نظر كل طرف. كما نتوقف عند الاتهامات التي تم تداولها خلال النقاش، وكيف تحوّل الخلاف من مجرد اختلاف في الرأي إلى مواجهة شخصية أثارت انقساما بين الجمهور. نحاول في هذا الفيديو تحليل ما حدث بهدوء، وفهم خلفيات كل طرف، وطرح السؤال الأهم: أين تنتهي حرية التصرف وأين تبدأ المسؤولية الأخلاقية؟ حلقة مليئة بالتفاصيل، نعرض فيها مختلف الآراء ونترك الحكم لكم. 🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة,مول الفوقية,برنامج السهم,بنات لالة منانة,لالة لعروسة,المغرب,محمد وهبي,bnat lalla mennana,lalla laarousa",23,Comedy,Society,PT13M40S,820,2d,hd,false,ar,ar,https://i.ytimg.com/vi/MkhLTahJi0Y/maxresdefault.jpg,1,,,,,386508,23890,,0,1459
5,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",N0CkF_VDBGg,2026-03-20T09:33:18Z,"2026-03-20 09:33:18","عيد مبارك سعيد على الأمة الإسلامية 😍🌙",,,23,Comedy,Religion,PT10S,10,2d,hd,false,ar,ar,https://i.ytimg.com/vi/N0CkF_VDBGg/maxresdefault.jpg,1,,,,,249802,5665,,0,155
6,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",M9RKg7T-6WQ,2026-03-19T23:26:24Z,"2026-03-19 23:26:24","بغاو ينصبو علينا! تلاقينا جوج خوت عايشين 90 عام بلا ماء صادم و مؤثر","هذا الفيديو مختلف عن باقي رحلاتنا… سافرنا إلى دوار نائي بإقليم تارودانت، مكان معزول يفتقر لأبسط مقومات الحياة: لا ماء، لا طريق، ولا حتى شبكة اتصال. في إطار مبادرة القفف الرمضانية السنوية، قررنا نكونوا حاضرين ونقدموا المساعدة، لكن الواقع اللي شفناه كان أصعب مما توقعنا… معاناة يومية بسبب غياب الماء الصالح للشرب إذا كنتي باغي تكون جزء من هاد الخير تابعنا على انستغرام لباقي التفاصيل و خلينا نديرو تغيير حقيقي www.instagram.com/nationale_bedarija 🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة,قلبي اطمئن,بنات لالة منانة,عش الطمع,محجوبة و التيبارية,رحمة 2,القناة الثانية,عيد الفطر,رمضان 2026,bnat lalla mennana,3ch tme3,2M,al aoula ramadan 2026,توام مغربي,صناع الأمل,كأس افريقيا,محمد وهبي,لائحة المنتخب,وليد الركراكي",23,Comedy,,PT13M35S,815,2d,hd,false,ar,ar,https://i.ytimg.com/vi/M9RKg7T-6WQ/maxresdefault.jpg,1,,,,,236223,16945,,0,898
7,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",58TW8JIdp3c,2026-03-14T00:11:56Z,"2026-03-14 00:11:56","أشهر مسلسل فرمضان! أخطاء كارثية و مشاهد غير متوقعة فرأس الجبل ضاعت الملايين فالإنتاج","في هذا الفيديو نستعرض أخطاء كارثية لم ينتبه لها الكثير من المشاهدين في أشهر مسلسلات رمضان، بالإضافة إلى تحليل بعض المشاهد التي أثارت الجدل بين الجمهور في مسلسل الهيبة رأس الجبل. سنتحدث بالتفصيل عن الأخطاء في الإخراج، واستمرارية المشاهد، وبعض اللقطات غير المنطقية التي ظهرت في المسلسل، وكيف لاحظها المتابعون بعد التدقيق. كما سنناقش ردود فعل الجمهور على هذه المشاهد، وهل كانت مقصودة أم مجرد أخطاء أثناء التصوير. إذا كنت من محبي المسلسلات الرمضانية وتحب اكتشاف الأسرار والأخطاء الخفية في الكواليس، فهذا الفيديو سيكشف لك تفاصيل ربما لم تلاحظها من قبل. 🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة,ras jbel,ra2s jabal,مسلسل الهيبة رأس الجبل,شاهد,مسلسل,رمضان 2026,مسلسلات رمضان,بنات لالة منانة,عش الطمع,مسلسل جبل شيخ الجبل العودة,مسلسل الهيبة شيخ الجبل,مسلسل الهيبة حمل عليا من جبل,مسلسل الهيبة جميع الحلقات,2m,2m maroc مسلسلات,2m ramadan 2026,bnat lalla mennana,رامز جلال,مسلسلات رمضانية,جينيريك,مي و الباك",23,Comedy,"Entertainment,Film,Television_program",PT16M1S,961,2d,hd,false,ar,ar,https://i.ytimg.com/vi/58TW8JIdp3c/maxresdefault.jpg,1,,,,,521391,31711,,0,1797
8,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",auqad0IkFrA,2026-03-10T22:13:00Z,"2026-03-10 22:13:00","فرقنا السحور على الناس فالشارع في رمضان😍🌙 #ناشيونال_بالدارجة #الخير_يجمعنا #اكسبلور",,,23,Comedy,,PT59S,59,2d,hd,false,ar,ar,https://i.ytimg.com/vi/auqad0IkFrA/maxresdefault.jpg,1,,,,,648924,17617,,0,391
9,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",jAebY5bBHgA,2026-02-28T20:56:23Z,"2026-02-28 20:56:23","جرأة غير متوقعة فمسلسل بنات لالة منانة ! صدمة الجمهور مع أشهر الممثلين","🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","تسركيلة,tserkila,nationalebedarija2,twins,توأم مغربي,ناشيونال بالدارجة",23,Comedy,"Entertainment,Film",PT16M22S,982,2d,hd,false,ar,ar,https://i.ytimg.com/vi/jAebY5bBHgA/maxresdefault.jpg,1,,,,,732991,38130,,0,1629
10,UC--sV_rnu94eY4hXFwoVmSA," Nationale Bedarija2-ناشيونال بالدارجة ",OiyAnm-UlKo,2026-02-20T00:40:52Z,"2026-02-20 00:40:52","النهار لي كرهنا فيه الخير! 😱 أحداث غريبة + مبادرة خيرية","هذا العام مجددا غادي نتجمعو على الخير 🤍 🎁 كل ""Super Thanks"" في هذا الفيديو يساهم في توفير قفة رمضانية لأسرة محتاجة. نسعى إلى أن لا يمر شهر رمضان على أي أسرة دون أن تجد ما يعينها من المواد الغذائية الأساسية. نقطع المسافات الطويلة ونسلك الطرق الوعرة، لكن دعوات الأمهات وابتسامات الأطفال هي أعظم دافع للاستمرار. ساهموا معنا بالدعم أو بمشاركة الفيديو، فالدال على الخير كفاعله. نسأل الله أن يتقبل منا ومنكم، وأن يجعل هذا العمل سببًا في إدخال السرور على قلوب المحتاجين. #مبادرة_القفف_الرمضانية #رمضان_شهر_الخير #الخير_يجمعنا 🔔 اشترك الآن وكن ضمن أقوى قاعدة على يوتيوب! 💥👑 انضم إلى عائلة الديكتاتوريين واستمتع بمحتوى نقدي وترفيهي لا مثيل له! 🔥🎬","ramadan,al aoula,ramdan 2026,lalla mennana,2m,ramadan maher zain,ramadan al aoula,ramadan 2m,رمضان 2026,رمضان 2026 المغرب,رمضان في المغرب,بنات لالة منانة,حكايات شامة,يوميات محجوبة و التيبارية",23,Comedy,,PT13M57S,837,2d,hd,false,ar,ar,https://i.ytimg.com/vi/OiyAnm-UlKo/maxresdefault.jpg,1,,,,,244573,28924,,0,2836
