position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,nS1daKjtwOo,2026-04-21T18:41:01Z,"2026-04-21 18:41:01","كلمة وحدة فـ لايف تيك توك… قلبات قضية اختفاء كاملة !🔓⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT36M56S,2216,2d,hd,false,ar,ar,https://i.ytimg.com/vi/nS1daKjtwOo/maxresdefault.jpg,1,,,,,175839,10910,,0,1111
2,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,qXJDfR-plZ4,2026-04-12T13:01:17Z,"2026-04-12 13:01:17","كلهم مشتبه فيهم… ولكن الحقيقة كانت قدامهم !🔓⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص الاختفاء,قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT35M8S,2108,2d,hd,false,ar,ar,https://i.ytimg.com/vi/qXJDfR-plZ4/maxresdefault.jpg,1,,,,,313672,13345,,0,1036
3,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,qDEQTKduUgA,2026-03-26T18:15:04Z,"2026-03-26 18:15:04","الأسماء اللي بغاو يحرقوها: شنو كاين وسط الملفات الممنوعة؟🔐🔥","#قصص #قصص_واقعية #قصص_حقيقية","جيفري ابستين,قصة جيفري,ملفات ابستين,قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT56M43S,3403,2d,hd,true,ar,ar,https://i.ytimg.com/vi/qDEQTKduUgA/maxresdefault.jpg,1,,,,,334482,14189,,0,1213
4,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,tB1M-EUM774,2026-03-20T20:20:12Z,"2026-03-20 20:20:12","القصة اللي غتعلمك بلي 'الخطر' يقدر يكون وسط بيت نعاسك !⚠️🪓","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT49M21S,2961,2d,hd,false,ar,ar,https://i.ytimg.com/vi/tB1M-EUM774/maxresdefault.jpg,1,,,,,391391,15332,,0,1294
5,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,gWcfsKCC4QE,2026-03-04T13:00:16Z,"2026-03-04 13:00:16","القصة اللي غتخليك تشك في أي واحد: الغدر اللي جا من ""قلب"" القصر!⛔🪓","#قصص #قصص_واقعية #قصص_حقيقية","ادموند سافرا,قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT1H3M31S,211,2d,hd,false,ar,ar,https://i.ytimg.com/vi/gWcfsKCC4QE/maxresdefault.jpg,1,,,,,402840,14118,,0,1248
6,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,sCUwnc9iVio,2026-02-18T19:13:45Z,"2026-02-18 19:13:45","السر اللي حاولو يدفنوه وسط منتجع الاغنياء!.. 🚫","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT27M56S,1676,2d,hd,false,ar,ar,https://i.ytimg.com/vi/sCUwnc9iVio/maxresdefault.jpg,1,,,,,310968,14064,,0,1200
7,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,CvDHaMZTEBY,2026-02-10T18:24:44Z,"2026-02-10 18:24:44","أسرار الليلة الأخيرة: كيفاش عاشت أشهر ممثلة ساعاتها الأخيرة قبل ""الفاجعة""! 🔓⛔","#قصص #قصص_واقعية #قصص_حقيقية","سعاد حسني,قصة سعاد حسني,قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT45M8S,2708,2d,hd,false,ar,ar,https://i.ytimg.com/vi/CvDHaMZTEBY/maxresdefault.jpg,1,,,,,357191,13532,,0,1032
8,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,5J-q7TV3IXY,2026-01-28T18:56:18Z,"2026-01-28 18:56:18","القضية لي تسدّات بسرعة… شنو تخبّى فموت لونا الشبل؟⛔🔐","#قصص #قصص_واقعية #قصص_حقيقية","لونا الشبل,قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT34M50S,2090,2d,hd,false,ar,ar,https://i.ytimg.com/vi/5J-q7TV3IXY/maxresdefault.jpg,1,,,,,320158,14591,,0,1172
9,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,XrLv6m7syTE,2026-01-21T18:34:57Z,"2026-01-21 18:34:57","تطبيق لي كان عزيز عليها هو لي غيكشف حقيقة اختفائها⛔🔐","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT39M12S,2352,2d,hd,false,ar,ar,https://i.ytimg.com/vi/XrLv6m7syTE/maxresdefault.jpg,1,,,,,409548,18344,,0,1602
10,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,eHe3eJenkiw,2026-01-03T18:00:43Z,"2026-01-03 18:00:43","جريمة تحولات لبرنامج واقعي على المباشر دايز في البرازيل كلها🎥⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",Society,PT46M5S,2765,2d,hd,false,ar,ar,https://i.ytimg.com/vi/eHe3eJenkiw/maxresdefault.jpg,1,,,,,418558,17565,,0,1097
11,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,54neF4FtkbQ,2025-12-25T17:51:03Z,"2025-12-25 17:51:03","القصة لغتخليك دخل سوق راسك و تحمد الله 😵⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT21M36S,1296,2d,hd,false,ar,ar,https://i.ytimg.com/vi/54neF4FtkbQ/maxresdefault.jpg,1,,,,,408608,15875,,0,1216
12,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,nqj-_O9pENs,2025-12-19T18:01:07Z,"2025-12-19 18:01:07","عائلة مليونيرات وبحر كيشهد على سِرّ خطير… شنو وقع فديك الليلة؟🔐⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",,PT41M10S,2470,2d,hd,false,ar,ar,https://i.ytimg.com/vi/nqj-_O9pENs/maxresdefault.jpg,1,,,,,365713,13479,,0,1186
13,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,MqR2DrSOaRk,2025-12-14T13:21:08Z,"2025-12-14 13:21:08","شنو وقع لفنانة لشيريهان فديك الليلة ؟ رواية رسمية… وحقيقة مخفية🔑⛔","#قصص #قصص_واقعية #قصص_حقيقية","شيريهان,قصة شيريهان,قصص الفنانين,قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",Entertainment,PT30M7S,1807,2d,hd,false,ar,ar,https://i.ytimg.com/vi/MqR2DrSOaRk/maxresdefault.jpg,1,,,,,541982,17677,,0,1506
14,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,EUAZFZEF9Fw,2025-12-07T13:16:33Z,"2025-12-07 13:16:33","القصة لي غادي تخليك تشكّ فأي واحد كتعرف⛏️⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب,BTK",26,"Howto & Style",,PT47M11S,2831,2d,hd,false,ar,ar,https://i.ytimg.com/vi/EUAZFZEF9Fw/maxresdefault.jpg,1,,,,,433555,20172,,0,1399
15,UCebFWsUeE9bx-kDyN40wmQQ,NADIAS,Ive38VVgnkM,2025-11-23T16:13:48Z,"2025-11-23 16:13:48","أسرار خطيرة وراء أخطر جريمة فـ أمريكا لي عام 2025 !🔐⛔","#قصص #قصص_واقعية #قصص_حقيقية","قصص,قصص_واقعية,قصص_بالمغربية,nadias,قصص_نادية,قصص_حقيقية,قصص بالدارجة,قصص بالمغربية,قصص المغرب,SAFAA,LASSAKRI,قصص العسكري,قصص صفاء,قصص مغربية,قصص نادية,NADIA STORIES,NADIAS,العسكري,الخراز,قصص الخراز,العساكري,RAJAA STORIES,المغرب",26,"Howto & Style",Society,PT42M30S,2550,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Ive38VVgnkM/maxresdefault.jpg,1,,,,,347396,21206,,0,1916
