position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",1hLWp9ApX3s,2026-03-20T19:15:49Z,"2026-03-20 19:15:49","تحدي المافيا - نسخة المتابعين ( الحلقة الأخيرة )","INSTAGRAM : REDA_ELWAHABII --------------------------------------------- Business : redabusiness7@gmail.com --------------------------------------------- #REDA_ELWAHABI #REDA_FAMILY --------------------------------------------- لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","رضا الوهابي,المافيا,تحدي المافيا,عيد مبارك,حلقة العيد,برامج رمضان,الحلقة الأخيرة,Mafia,Mafia challenge,LAST EPISODE,مافيا المتابعين,تحديات المتابعين",24,Entertainment,Entertainment,PT28M23S,1703,2d,hd,false,ar,ar,https://i.ytimg.com/vi/1hLWp9ApX3s/maxresdefault.jpg,1,,,,,1001399,32079,,0,1268
2,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",bXoVWYV0emo,2026-03-15T17:48:21Z,"2026-03-15 17:48:21","تحدي المافيا - نسخة الرجال 👑","INSTAGRAM : REDA_ELWAHABII --------------------------------------------- Business : redabusiness7@gmail.com --------------------------------------------- #REDA_ELWAHABI #REDA_FAMILY --------------------------------------------- لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","رضا الوهابي,تحدي المافيا,غيث مروان,رامي حمدان,عمر أبوروب,وسام قطب,أنس الشايب,Reda el wahabi,Ghaith Marwan,Ramy Hamdan,Omar aburob,Anas Alshayeb,برامج رمضان,2026,رمضان 2026,Aburob,المافيا نسخة الرجال,المافيا العربية",24,Entertainment,Entertainment,PT36M24S,2184,2d,hd,false,ar,ar,https://i.ytimg.com/vi/bXoVWYV0emo/maxresdefault.jpg,1,,,,,2229835,87237,,0,3122
3,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",UWnl3kxI-y8,2026-03-08T20:22:37Z,"2026-03-08 20:22:37","تحدي المافيا - نسخة البنات 🎀","INSTAGRAM : REDA_ELWAHABII --------------------------------------------- Business : redabusiness7@gmail.com --------------------------------------------- #REDA_ELWAHABI #REDA_FAMILY --------------------------------------------- لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","رضا الوهابي,REDA EL WAHABI,تحدي المافيا,رغدة,Raghdak,رضا و رغدة,Asso,اسو,Miss doua,Beki,مريم الخالدي,Cedra,Cedra beauty,سيدرا و رامي,برامج رمضان,مافيا البنات",24,Entertainment,Entertainment,PT30M32S,1832,2d,hd,false,ar,ar,https://i.ytimg.com/vi/UWnl3kxI-y8/maxresdefault.jpg,1,,,,,3770225,136574,,0,4316
4,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",bx1PMB_ovQM,2026-02-27T19:09:07Z,"2026-02-27 19:09:07","تحدي المافيا العربية | نسخة الأزواج 2 💍❤️","المافيا الموسم الثاني - نسخة الأزواج ❤️ حسابات المافيا : --------------------------------------------- Business : redabusiness7@gmail.com --------------------------------------------- #REDA_ELWAHABI #REDA_FAMILY --------------------------------------------- لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","مافيا,رمضان 2026,تحديات رمضان,مافيا الأزواج,نسخة الأزواج,المافيا العربية,نسخة العربية,تحديات,برامج رمضان",24,Entertainment,Entertainment,PT47M48S,2868,2d,hd,false,ar,ar,https://i.ytimg.com/vi/bx1PMB_ovQM/maxresdefault.jpg,1,,,,,1500478,47888,,0,1757
5,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",B7NIvOdLA40,2025-11-16T16:41:22Z,"2025-11-16 16:41:22","Moroccan Tea × @MrBeast 🔥#shorts #mrbeast #اكسبلور #challenge #morocco",,,24,Entertainment,Entertainment,PT1M42S,102,2d,hd,false,en,ar,https://i.ytimg.com/vi/B7NIvOdLA40/maxresdefault.jpg,1,,,,,873523,17105,,0,335
6,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",p7LSv3X2SKw,2025-09-06T17:00:23Z,"2025-09-06 17:00:23","تحدي الجاسوس مع اليوتيوبرز العرب – أصعب لعبة خيانة 😱","لن تتوقعوا من هو الجاسوس ! قواعد لعبة الجاسوس : - اللعبة مكوّنة من 7 لاعبين. - جميع اللاعبين يعرفون كلمة واحدة مشتركة. - لاعب واحد فقط لا يعرف الكلمة، وهو ""الجاسوس"". - يتبادل اللاعبون الأسئلة والأجوبة حول الكلمة. - الهدف هو كشف من هو الجاسوس قبل نهاية الجولة. - إذا اكتُشف الجاسوس يخسر، وإذا بقي مخفياً يكون هو الفائز.اكتب بالكومنت من أكثر شخصية حبيت ؟ استمتعوا بالمشاهدة ولا تنسوا لااااااايك ! الجواسيس : @ossymarwah @ramyhamdan @Alnasheet @WessamQutob @ibrahim_marrawi @itskhateb.1 --------------------------------------------- INSTAGRAM : @REDA_ELWAHABII --------------------------------------------- Business : redabusiness7@gmail.com لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","رضا الوهابي,تحديات,تحدي الجاسوس,برا السالفة,reda el wahabi,EL WAHABI,OSSY,RAMY HAMDAN,BARHOM,OSSY MARWAH,تحديات الذكاء,العالم العربي,لعبة برا السالفة,لعبة الجاسوس",24,Entertainment,Entertainment,PT26M35S,1595,2d,hd,false,ar,ar,https://i.ytimg.com/vi/p7LSv3X2SKw/maxresdefault.jpg,1,,,,,1596860,47623,,0,2141
7,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",TV4lLJiYyPU,2025-07-16T17:58:09Z,"2025-07-16 17:58:09","أسرار الحفلات بالمغرب مع حاتم عمور 🔥","الحفلات بالمغرب مع حاتم عمور قناة حاتم عمور : @HatimAmmor Business : redabusiness7@gmail.com لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","REDA EL WAHABI,Hatim ammor,كواليس الحفلات بالمغرب,حفلات حاتم عمور,عرس مغربي اسطوري,زفاف مغربي,رضا الوهابي,Psychologue hatim ammor,Hatim ammor festival,اغاني حاتم عمور",24,Entertainment,Entertainment,PT23M52S,1432,2d,hd,false,ar,ar,https://i.ytimg.com/vi/TV4lLJiYyPU/maxresdefault.jpg,1,,,,,234982,6732,,0,665
8,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",KFlm0EPXDm0,2025-07-06T17:57:58Z,"2025-07-06 17:57:58","تحدي المافيا العربية | نسخة الأزواج 💍❤️","تحدي المافيا العربية مع الأزواج ! اكتب بالكومنت من أكثر شخصية حبيت ؟ استمتعوا بالمشاهدة ولا تنسوا لااااااايك ! حسابات العصابة : @Ghaithmarwan @WessamQutob @ziadandsarah انستغرام : @saraaalwari @Sarahsaamiii @sarahmalas --------------------------------------------- INSTAGRAM : @REDA_ELWAHABII --------------------------------------------- Business : redabusiness7@gmail.com لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","المافيا,تحدي المافيا,المافيا العربية,رضا الوهابي,غيث مروان,سارة الورع,Reda el wahabi,GHAIT MARWAN,SARA GHAIT MARWAN,WESSAM QUTOB,SARAANDZIAD,ZIAD,SARA,غموض,دراما,غيث مروان و سارة,الأزواج,تحديات متزوجين",24,Entertainment,Entertainment,PT45M25S,2725,2d,hd,false,ar,ar,,1,,,,,7035388,185074,,0,4955
9,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",wyVlR9ijFnY,2025-05-30T17:01:15Z,"2025-05-30 17:01:15","تحدي المافيا العربية - خيانة كبيرة !!!","Who’s the Mafia ? تحدي المافيا مع أكبر صناع محتوى العالم العربي استمتعوا بالمشاهدة ولا تنسوا 200k لايك لجزء ثاني بالعالم العربي حسابات العصابة : ​⁠​⁠​⁠ @ossymarwah ​@WessamQutob @ramyhamdan @jalalamara @Alnasheet Ahmed Khateb : https://www.instagram.com/itskhateb ​⁠​⁠​⁠ --------------------------------------------- لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","تحدي المافيا,اسامة مروى,Reda el wahabi,Ossy marwah,Ossy,ramy hamdan,jalal amara,wessam qutob,ahmed khateb,أسامة مروى,تحديات,المافيا النسخة العربية,دراما",24,Entertainment,,PT44M21S,2661,2d,hd,true,ar,ar,https://i.ytimg.com/vi/wyVlR9ijFnY/maxresdefault.jpg,1,,,,,2823885,89693,,0,4514
10,UCmsyZt6DsYqa6KEZSDRd83w,"REDA EL WAHABI",z_OdiFfcdVU,2025-05-02T18:44:28Z,"2025-05-02 18:44:28","تحدي المافيا - نسخة العالم العربي | أبوفله خسر !","Who’s the Mafia ? تحدي المافيا مع أكبر صناع محتوى العالم العربي استمتعوا بالمشاهدة ولا تنسوا 200k لايك لجزء ثاني بالعالم العربي حسابات العصابة : ​⁠​⁠@AboFlah ​⁠​⁠@NajiElqaq ​⁠​⁠@BilalFadili @anasalhajj https://www.instagram.com/yousef.jazar https://www.instagram.com/hasanaljomleh --------------------------------------------- لا تنسوا الاشتراك في القناة و تفعيل الجرس 🔔","Reda el wahabi,Abofalah,ابوفله,المافيا,النسخة العربية,اكبر صناع محتوى العالم العربي,بلال,ناجي القاق,العالم العربي,تحديات العالم العربي,الامارات,السعودية,الأردن,سوريا,Mafia,Mafia challenge",24,Entertainment,Entertainment,PT53M7S,3187,2d,hd,false,ar,ar,https://i.ytimg.com/vi/z_OdiFfcdVU/maxresdefault.jpg,1,,,,,3360633,137902,,0,3323
