position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",YpUM5NnYHMI,2026-04-02T18:55:07Z,"2026-04-02 18:55:07","ثلاثة في واحد - ft Mahamawda & Marouane Nbalsi","“ثلاثة في واحد” هو برنامج جديد مقتبس يجمع ثلاثة أشخاص، واحد لا يرى وواحد لا يسمع وواحد لا يتكلم، وعليهم النجاح في ثلاثة تحديات من خلال العمل كعقل واحد. “3 x 1” is a new adapted show where three individuals, one can’t see, one can’t hear, and one can’t speak, must complete three challenges by learning to operate as one mind. “3 x 1” est un nouveau programme adapté où trois personnes, l’une ne voit pas, l’autre n’entend pas et la troisième ne parle pas, doivent réussir trois défis en apprenant à fonctionner comme un seul esprit. Production : CreatorsLab Vision : Simo Sedraty Project Manager : Aya Chekrouni Director: elias hamdani Editing : Elias Hamdani Mixage, étalonnage et vfx: space.color.grade Head of Production : Idriss Assamidi Pre-production : Anass Sedraty, Fatemzahra El Kabiri, Hatim Mezouri, Amina Benali Director of Photography : Ibrahim Ngadi Cameramen : Zakaria Maslouhi, Walid Baroud, Hamza Hajjou, Saad Nadir Makeup : Ghita Hennaj Costume : Abdelali Bakouri Accessoires : Hajar Rizq General Assistant : Abdelaziz Al Imbrator Graphic Designer : Omar hajaji Sound Engineer : Kqrim Nacir Assistant Sound Engineer : Ilham Lagnioui اشترك في قناة الرسمية لسيمو سيدراتي : https://bit.ly/SimoSedraty تابعوني على صفحاتي : أنستجرام : https://www.instagram.com/simosedraty/ الفايسبوك : https://web.facebook.com/simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty ----------------------------------------------------------------------------------------- ------------------------------------------------------------------------------- #simosedraty","Simo Sedraty,Sadrati,Sedrati,sdraty,sdrati,comedy,sketch,fun,podcast,podcastmarocain,سيمو سيدراتي",23,Comedy,"Entertainment,Film",PT44M21S,2661,2d,hd,false,ar,ar,https://i.ytimg.com/vi/YpUM5NnYHMI/maxresdefault.jpg,1,,,,,634635,26777,,0,1082
2,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",DrS7gRcg3Z8,2026-03-26T18:00:06Z,"2026-03-26 18:00:06","1 FIHOM KEDAB 07 (ft Samid Ghailan & Maria nadim)","#simosedraty Nous avons repris un concept YouTube très connu, L’Imposteur, et nous nous sommes inspirés de la meilleure adaptation, celle de Squeezie, pour le recréer à la marocaine. Voici notre version avec une touche locale ! J’espère que vous l’apprécierez, merci ! قمنا بإعادة تقديم برنامج المحتال، وهو أحد أشهر البرامج على يوتيوب، مستلهمين أفضل نسخة متوفرة، وهي نسخة Squeezie، لنقدمه لكم بأسلوب مغربي فريد. نأمل أن تنال إعجابكم، وشكرًا لكم We took a well-known YouTube concept, The Impostor, and adapted the best version—Squeezie’s—to create a Moroccan take on it. Here’s our localized version! Hope you enjoy it, thank you! Fleuristes : - Ghita : https://www.instagram.com/ghita.bentanji/ - Yasmine : https://www.instagram.com/fleuriste__yasmine/ - Wijdane : https://www.instagram.com/roseetsens.0/ Voituriers : - Jojo Jouets : Site web : www.jojojouets.com Instagram : https://www.instagram.com/jojo.jouets?igsh=cWhya2EwcGlmNnEy - Othmane : https://www.instagram.com/othmanebrika/ Kinésithérapeutes : - Chaimaa : https://www.instagram.com/centrelabidi?igsh=N28zYnZlaDhtMmY1&utm_source=qr - Soukaina : https://www.instagram.com/lahlali_physio?igsh=MXJkMzE0dDFyN2FobA%3D%3D - Lamiaa : https://www.instagram.com/diouri_lamie?igsh=MnoxZzIxajhhZDkw&utm_source=qr Pizzaiolo : - Hamza & Samir : Prego gusto https://www.instagram.com/prego_gusto/ - Zakaria : https://www.instagram.com/zackaria_jajit/ Production : CreatorsLab Vision : Simo Sedraty Project Manager : Aya Chekrouni Director: elias hamdani Editing : Elias Hamdani Mixage, étalonnage et vfx: space.color.grade Head of Production : Idriss Assamidi Pre-production : Anass Sedraty, Fatemzahra El Kabiri, Hatim Mezouri, Amina Benali Director of Photography : Ibrahim Ngadi Cameramen : Zakaria Maslouhi, Walid Baroud, Hamza Hajjou, Saad Nadir Makeup : Ghita Hennaj Costume : Abdelali Bakouri Accessoires : Hajar Rizq General Assistant : Abdelaziz Al Imbrator Graphic Designer : Omar hajaji Sound Engineer : Kqrim Nacir Assistant Sound Engineer : Ilham Lagnioui اشترك في قناة الرسمية لسيمو سيدراتي : https://bit.ly/SimoSedraty تابعوني على صفحاتي : أنستجرام : https://www.instagram.com/simosedraty/ الفايسبوك : https://web.facebook.com/simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty ----------------------------------------------------------------------------------------- ------------------------------------------------------------------------------- #simosedraty","Simo Sedraty,Sadrati,Sedrati,sdraty,sdrati,comedy,sketch,fun,podcast,podcastmarocain,سيمو سيدراتي",23,Comedy,"Entertainment,Film,Television_program",PT1H3M7S,187,2d,hd,false,ar,ar,https://i.ytimg.com/vi/DrS7gRcg3Z8/maxresdefault.jpg,1,,,,,1197212,36652,,0,796
3,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",SAITVrKl3aw,2026-03-05T23:06:01Z,"2026-03-05 23:06:01","مدرسة زمان - 09 (Mambahfit, Marouane Nbalsi, Taha Benaime)","#simosedraty مرحبا بكم في “مدرسة زمان” – أجواء المدرسة القديمة ! ثلاث ضيوف، فريقان، وأستاذ واحد يقدّم تحديات مستوحاة من ذكريات الدراسة. ضحك، نوستالجيا، ومتعة مضمونة! Bienvenue à Madrasat Zaman – l’école à l’ancienne ! Deux équipes, trois invités, un prof, et des challenges inspirés de nos souvenirs d’école. Humour, nostalgie et bonne humeur au rendez-vous ! Welcome to Madrasat Zaman – the old-school classroom! Three guests, two teams, one teacher, and nostalgic school-themed challenges. Get ready for laughs, memories, and fun! الأستاذ: / chaoukisadoussi ... تابعوني على صفحاتي : أنستجرام : ￼ / simosedraty. . الفايسبوك : / simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty Production : CreatorsLab Vision : Simo Sedraty Project Manager : Aya Chekrouni Editing : Elias Hamdani Editing : Abderrahman Loucif Head of Production : Idriss Assamidi Director of Photography : Ibrahim Ngadi Redaction: Chaouki Sadoussi Cameramen : Zakaria Maslouhi, Othmane Brika General Assistant : Abdelaziz Al Imbrator Graphic Designer : Omar Hajaji Motion Designer: Mounir Hamrchouka اشترك في قناة الرسمية لسيمو سيدراتي : https://bit.ly/SimoSedraty تابعوني على صفحاتي : أنستجرام : / simosedraty الفايسبوك : / simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty ----------------------------------------------------------------------------------------- ------------------------------------------------------------------------------- #simosedraty","Simo Sedraty,Sadrati,Sedrati,sdraty,sdrati,comedy,sketch,fun,podcast,podcastmarocain,سيمو سيدراتي",23,Comedy,"Humour,Music",PT44M49S,2689,2d,hd,false,ar,ar,https://i.ytimg.com/vi/SAITVrKl3aw/maxresdefault.jpg,1,,,,,748277,26129,,0,980
4,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",OTBNp8zAOOw,2026-02-27T20:43:01Z,"2026-02-27 20:43:01","Madrassat zaman core 😂",,,23,Comedy,"Entertainment,Film",PT47S,47,2d,hd,false,ar,ar,https://i.ytimg.com/vi/OTBNp8zAOOw/maxresdefault.jpg,1,,,,,29923,571,,0,5
5,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",8jK1_1Iya1U,2026-02-19T14:48:01Z,"2026-02-19 14:48:01","Dé mat3awd 03 - اختبار الصمت الأصعب على الإطلاق","في برنامج دي ما تعاود، يخوض مجموعة من الشباب تحديات طريفة داخل منزل الجد والجدة، مع شرط واحد فقط: ألّا يصدروا أي صوت قد يوقظهما. هل ينجحون في ذلك أم تنكشف محاولاتهم؟ In Dé Ma T3awd, a group of young contestants take on fun challenges inside the grandparents’ house with only one rule: stay completely silent. Will they manage to succeed, or will they get caught? Production : CreatorsLab Vision : Simo Sedraty Project Manager : Aya Chekrouni Editing : Elias Hamdani Head of Production : Idriss Assamidi Director of Photography : Ibrahim Ngadi Copywriting: Saad Idrissi Cameramen : Zakaria Maslouhi, Othmane Brika Graphic Designer : Omar Hajaji, ElMehdi Ainouss Motion Designer: Mounir Hamrchouka اشترك في قناة الرسمية لسيمو سيدراتي : https://bit.ly/SimoSedraty تابعوني على صفحاتي : أنستجرام : https://www.instagram.com/simosedraty/ الفايسبوك : https://web.facebook.com/simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty ----------------------------------------------------------------------------------------- ------------------------------------------------------------------------------- #simosedraty","Simo Sedraty,Sadrati,Sedrati,sdraty,sdrati,comedy,sketch,fun,podcast,podcastmarocain,سيمو سيدراتي",23,Comedy,,PT19M24S,1164,2d,hd,false,ar,ar,https://i.ytimg.com/vi/8jK1_1Iya1U/maxresdefault.jpg,1,,,,,438686,19711,,0,346
6,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",F2V2onv40Zc,2026-02-16T12:08:17Z,"2026-02-16 12:08:17","Di mat3awd core",,,23,Comedy,"Entertainment,Film",PT34S,34,2d,hd,false,ar,ar,https://i.ytimg.com/vi/F2V2onv40Zc/maxresdefault.jpg,1,,,,,25649,527,,0,12
7,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",Sv2XarXdxhA,2026-02-12T17:50:06Z,"2026-02-12 17:50:06","مدرسة زمان - 08 (Souhail Echaddini, Ghita Benhayoune, Salwa Anlouf)","مرحبا بكم في “مدرسة زمان” – أجواء المدرسة القديمة ! ثلاث ضيوف، فريقان، وأستاذ واحد يقدّم تحديات مستوحاة من ذكريات الدراسة. ضحك، نوستالجيا، ومتعة مضمونة! Bienvenue à Madrasat Zaman – l’école à l’ancienne ! Deux équipes, trois invités, un prof, et des challenges inspirés de nos souvenirs d’école. Humour, nostalgie et bonne humeur au rendez-vous ! Welcome to Madrasat Zaman – the old-school classroom! Three guests, two teams, one teacher, and nostalgic school-themed challenges. Get ready for laughs, memories, and fun! الأستاذ: / chaoukisadoussi ... تابعوني على صفحاتي : أنستجرام : ￼ / simosedraty. . الفايسبوك : / simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty Production : CreatorsLab Vision : Simo Sedraty Project Manager : Aya Chekrouni Editing : Elias Hamdani Editing : Abderrahman Loucif Head of Production : Idriss Assamidi Director of Photography : Ibrahim Ngadi Redaction: Chaouki Sadoussi Cameramen : Zakaria Maslouhi, Othmane Brika General Assistant : Abdelaziz Al Imbrator Graphic Designer : Omar Hajaji Motion Designer: Mounir Hamrchouka اشترك في قناة الرسمية لسيمو سيدراتي : https://bit.ly/SimoSedraty تابعوني على صفحاتي : أنستجرام : https://www.instagram.com/simosedraty/ الفايسبوك : https://web.facebook.com/simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty ----------------------------------------------------------------------------------------- ------------------------------------------------------------------------------- #simosedraty","Simo Sedraty,Sadrati,Sedrati,sdraty,sdrati,comedy,sketch,fun,podcast,podcastmarocain,سيمو سيدراتي",23,Comedy,"Entertainment,Humour",PT40M6S,2406,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Sv2XarXdxhA/maxresdefault.jpg,1,,,,,602147,16159,,0,484
8,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",ND-4feMPWcE,2026-02-09T12:09:36Z,"2026-02-09 12:09:36","BEST OF 1 Fihom Kedab",,,23,Comedy,"Entertainment,Film,Humour",PT43S,43,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ND-4feMPWcE/maxresdefault.jpg,1,,,,,19752,514,,0,11
9,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",lOkIgE_FOmE,2026-02-06T14:06:10Z,"2026-02-06 14:06:10","من أحسن الحلقات",,,23,Comedy,"Entertainment,Film",PT41S,41,2d,hd,false,ar,ar,https://i.ytimg.com/vi/lOkIgE_FOmE/maxresdefault.jpg,1,,,,,51713,1226,,0,15
10,UCWkmLEuhRrDGPzRFvEBC7dw,"Simo Sedraty",uxZ5oaHWPfY,2026-01-29T19:10:07Z,"2026-01-29 19:10:07","1 FIHOM KEDAB 06 (ft Lmoutchou & Small X)","Nous avons repris un concept YouTube très connu, L’Imposteur, et nous nous sommes inspirés de la meilleure adaptation, celle de Squeezie, pour le recréer à la marocaine. Voici notre version avec une touche locale ! J’espère que vous l’apprécierez, merci ! قمنا بإعادة تقديم برنامج المحتال، وهو أحد أشهر البرامج على يوتيوب، مستلهمين أفضل نسخة متوفرة، وهي نسخة Squeezie، لنقدمه لكم بأسلوب مغربي فريد. نأمل أن تنال إعجابكم، وشكرًا لكم We took a well-known YouTube concept, The Impostor, and adapted the best version—Squeezie’s—to create a Moroccan take on it. Here’s our localized version! Hope you enjoy it, thank you! Profs d’anglais : - Rokaia https://www.instagram.com/americanworkshopcasablanca?igsh=MXZmY3c3Nmx6bmx3Mg%3D%3D&utm_source=qr - ⁠Othman https://www.instagram.com/othman__zr?igsh=dHo0OWp5MnBmdTE4 - ⁠Achraf https://www.tiktok.com/@achrafamzid?_r=1&_t=ZS-92Uh7Zv2a0Y Graffiti Artists : - Zorg https://www.instagram.com/zorg_arts?igsh=YWtzNDBoZjE0dnhw - ⁠Otm https://www.instagram.com/otmgraff?igsh=M2g4aXN3M2FrajYw&utm_source=qr - ⁠Younes https://www.instagram.com/unesdo?igsh=dmp0ZjExZmd5OTg5 Chefs Pâtissier : - Khadija https://www.instagram.com/iriiska__?igsh=MXJtcTdmazkwYWM4dQ%3D%3D - ⁠Jamal https://www.instagram.com/jamal_gutbi?utm_source=qr&igsh=dXRuMGYzYzEzdHBt - ⁠Ouail https://www.instagram.com/kho.boy3?igsh=ejZ4YzJ4a2t4YzF3&utm_source=qr Champions Judo : - Mohannad & Bouchra https://www.instagram.com/team_etoile?igsh=MWxmMXdoam81anJ1Nw%3D%3D - ⁠Abdelaziz https://www.instagram.com/aziz.s_art?igsh=MTlzajg5YWhud2I4YQ== Production : CreatorsLab Vision : Simo Sedraty Project Manager : Aya Chekrouni Director: elias hamdani Editing : Elias Hamdani Mixage, étalonnage et vfx: space.color.grade Head of Production : Idriss Assamidi Pre-production : Anass Sedraty, Fatemzahra El Kabiri, Hatim Mezouri, Amina Benali Director of Photography : Ibrahim Ngadi Cameramen : Zakaria Maslouhi, Walid Baroud, Hamza Hajjou, Saad Nadir Makeup : Ghita Hennaj Costume : Abdelali Bakouri Accessoires : Hajar Rizq General Assistant : Abdelaziz Al Imbrator Graphic Designer : Omar hajaji Sound Engineer : Kqrim Nacir Assistant Sound Engineer : Ilham Lagnioui اشترك في قناة الرسمية لسيمو سيدراتي : https://bit.ly/SimoSedraty تابعوني على صفحاتي : أنستجرام : https://www.instagram.com/simosedraty/ الفايسبوك : https://web.facebook.com/simo.sedraty سناب شات : snapchat.com/add/simosedraty إكس : twitter.com/SimoSedraty ----------------------------------------------------------------------------------------- ------------------------------------------------------------------------------- #simosedraty","Simo Sedraty,Sadrati,Sedrati,sdraty,sdrati,comedy,sketch,fun,podcast,podcastmarocain,سيمو سيدراتي",23,Comedy,"Entertainment,Film",PT47M27S,2847,2d,hd,false,ar,ar,https://i.ytimg.com/vi/uxZ5oaHWPfY/maxresdefault.jpg,1,,,,,1472898,59248,,0,1360
