Âge du spectateur,Genre du spectateur,Vues (%),Durée de visionnage (heures) (%)
13 – 17 ans,Femme,7.71,7.53
13 – 17 ans,Homme,9.22,8.18
13 – 17 ans,Spécifié par l'utilisateur,0.04,0.04
18 – 24 ans,Femme,20.52,22.05
18 – 24 ans,Homme,27.25,26.52
18 – 24 ans,Spécifié par l'utilisateur,0.1,0.12
25 – 34 ans,Femme,7.48,8.22
25 – 34 ans,Homme,11.89,12.26
25 – 34 ans,Spécifié par l'utilisateur,0.04,0.04
35 – 44 ans,Femme,3.63,3.45
35 – 44 ans,Homme,4.36,4.17
35 – 44 ans,Spécifié par l'utilisateur,0.01,0.01
45 – 54 ans,Femme,1.98,1.88
45 – 54 ans,Homme,3.04,2.94
45 – 54 ans,Spécifié par l'utilisateur,0,0.01
55 – 64 ans,Femme,0.54,0.52
55 – 64 ans,Homme,1.21,1.17
55 – 64 ans,Spécifié par l'utilisateur,0,0
65 ans et plus,Femme,0.35,0.32
65 ans et plus,Homme,0.6,0.57
65 ans et plus,Spécifié par l'utilisateur,0,0
