Date,Source de trafic,Durée moyenne d'une vue
2016-01-27,Source directe ou inconnue,
2016-01-28,Source directe ou inconnue,0:00:00
2016-01-29,Source directe ou inconnue,0:00:00
2016-01-30,Source directe ou inconnue,0:00:00
2016-01-31,Source directe ou inconnue,
2016-02-01,Source directe ou inconnue,
2016-02-02,Source directe ou inconnue,
2016-02-03,Source directe ou inconnue,0:00:06
2016-02-04,Source directe ou inconnue,0:00:00
2016-02-05,Source directe ou inconnue,0:00:06
2016-02-06,Source directe ou inconnue,0:00:00
2016-02-07,Source directe ou inconnue,0:01:31
2016-02-08,Source directe ou inconnue,0:01:01
2016-02-09,Source directe ou inconnue,0:01:32
2016-02-10,Source directe ou inconnue,0:01:00
2016-02-11,Source directe ou inconnue,0:01:10
2016-02-12,Source directe ou inconnue,0:01:18
2016-02-13,Source directe ou inconnue,0:01:41
2016-02-14,Source directe ou inconnue,0:01:18
2016-02-15,Source directe ou inconnue,0:01:18
2016-02-16,Source directe ou inconnue,0:00:00
2016-02-17,Source directe ou inconnue,
2016-02-18,Source directe ou inconnue,0:01:17
2016-02-19,Source directe ou inconnue,
2016-02-20,Source directe ou inconnue,0:00:00
2016-02-21,Source directe ou inconnue,0:00:00
2016-02-22,Source directe ou inconnue,
2016-02-23,Source directe ou inconnue,0:00:00
2016-02-24,Source directe ou inconnue,0:00:42
2016-02-25,Source directe ou inconnue,0:01:17
2016-02-26,Source directe ou inconnue,0:00:02
2016-02-27,Source directe ou inconnue,0:00:42
2016-02-28,Source directe ou inconnue,
2016-02-29,Source directe ou inconnue,0:01:26
2016-03-01,Source directe ou inconnue,0:01:17
2016-03-02,Source directe ou inconnue,0:00:10
2016-03-03,Source directe ou inconnue,0:00:00
2016-03-04,Source directe ou inconnue,0:00:00
2016-03-05,Source directe ou inconnue,
2016-03-06,Source directe ou inconnue,0:00:42
2016-03-07,Source directe ou inconnue,0:00:00
2016-03-08,Source directe ou inconnue,0:00:54
2016-03-09,Source directe ou inconnue,0:00:00
2016-03-10,Source directe ou inconnue,0:00:00
2016-03-11,Source directe ou inconnue,
2016-03-12,Source directe ou inconnue,0:00:00
2016-03-13,Source directe ou inconnue,0:00:00
2016-03-14,Source directe ou inconnue,0:00:24
2016-03-15,Source directe ou inconnue,0:00:06
2016-03-16,Source directe ou inconnue,0:01:07
2016-03-17,Source directe ou inconnue,0:00:13
2016-03-18,Source directe ou inconnue,0:00:08
2016-03-19,Source directe ou inconnue,0:00:20
2016-03-20,Source directe ou inconnue,
2016-03-21,Source directe ou inconnue,0:00:32
2016-03-22,Source directe ou inconnue,
2016-03-23,Source directe ou inconnue,0:00:13
2016-03-24,Source directe ou inconnue,0:00:00
2016-03-25,Source directe ou inconnue,0:00:11
2016-03-26,Source directe ou inconnue,0:00:00
2016-03-27,Source directe ou inconnue,0:04:24
2016-03-28,Source directe ou inconnue,0:00:00
2016-03-29,Source directe ou inconnue,0:05:37
