Situation géographique,Durée moyenne d'une vue,J'aime,Je n'aime pas,"% ""J'aime"" (%)",Vues,Durée de visionnage (heures),Abonnés,Revenus estimés (MAD)
Total,0:07:12,71263,786,98.82,2726410,327622.0876,9444,11584.165
MA,0:07:09,66504,751,98.88,2414252,288277.3242,7481,5484.488
ES,0:07:42,1027,0,100,41932,5384.9972,10,1079.889
EH,0:06:57,840,0,100,45817,5319.7416,0,29.502
DZ,0:07:20,1105,0,100,34919,4271.5859,0,33.826
FR,0:08:25,127,0,100,25151,3531.4306,0,1345.402
IT,0:07:35,479,0,100,17812,2252.4115,0,595.305
DE,0:08:10,15,0,100,8064,1099.2648,0,539.149
US,0:07:57,27,0,100,7500,994.0096,0,634.038
CA,0:08:33,11,0,100,6370,908.0431,0,500.935
BE,0:09:00,8,0,100,4198,630.2134,0,305.902
AE,0:09:17,0,0,,3049,472.1496,0,83.364
SA,0:07:58,9,0,100,3424,455.468,0,40.276
CN,0:08:45,23,0,100,2691,393.0268,0,
NL,0:08:23,10,0,100,2726,381.6164,0,318.679
GB,0:08:21,0,0,,2390,332.9513,0,207.282
TR,0:08:25,10,0,100,2236,313.9426,0,26.004
RU,0:07:34,0,0,,1411,178.1966,0,0.215
PT,0:08:38,0,0,,1194,172.1198,0,27.925
QA,0:10:10,0,0,,1008,170.8593,0,12.98
KR,0:10:34,19,0,100,661,116.4589,0,30.39
HK,0:08:58,0,0,,656,98.1859,0,23.121
JP,0:08:50,0,0,,545,80.2428,0,16.872
TN,0:06:20,0,0,,573,60.6275,0,0.783
CH,0:09:02,0,0,,353,53.1916,0,36.266
EG,0:05:50,0,0,,465,45.2346,0,1.966
SN,0:09:52,0,0,,271,44.618,0,0.844
SG,0:07:43,0,0,,246,31.6969,0,14.105
OM,0:07:16,0,0,,260,31.5543,0,3.519
LY,0:06:14,0,0,,271,28.2116,0,0.467
PL,0:07:50,0,0,,193,25.2025,0,15.943
SE,0:10:23,0,0,,144,24.9277,0,41.166
CY,0:07:18,0,0,,178,21.6725,0,3.714
KW,0:11:27,0,0,,78,14.9006,0,1.457
ET,0:06:34,0,0,,113,12.3882,0,
MT,0:12:34,0,0,,56,11.7375,0,5.617
RO,0:08:12,0,0,,83,11.3573,0,7.076
BR,0:07:25,0,0,,84,10.3964,0,3.642
AT,0:07:52,0,0,,67,8.8001,0,13.602
ZA,0:07:13,0,0,,56,6.7404,0,0.772
HU,0:08:14,0,0,,46,6.3223,0,5.241
IE,0:09:40,0,0,,39,6.2858,0,5.888
MR,0:05:10,0,0,,71,6.1208,0,
AU,0:07:27,0,0,,47,5.845,0,18.329
LT,0:08:36,0,0,,40,5.7398,0,2.916
JO,0:05:46,0,0,,55,5.2976,0,2.146
TW,0:10:51,0,0,,27,4.8892,0,3.229
TH,0:11:09,0,0,,24,4.4616,0,2.664
MO,0:08:05,0,0,,28,3.7783,0,
ID,0:08:00,0,0,,22,2.9349,0,1.368
IN,0:16:15,0,0,,10,2.7101,0,2.582
BH,0:12:23,0,0,,10,2.0665,0,1.044
DK,0:05:54,0,0,,20,1.9681,0,12.222
LU,0:08:03,0,0,,13,1.7454,0,4.905
IQ,0:01:01,0,0,,95,1.6285,0,0.125
GI,0:06:31,0,0,,13,1.413,0,0.194
VN,0:06:22,0,0,,13,1.3817,0,0.989
GR,0:06:22,0,0,,13,1.3806,0,0.888
AR,0:05:43,0,0,,13,1.2388,0,0.92
CI,0:04:41,0,0,,13,1.018,0,
FI,0:06:00,0,0,,10,1.0015,0,8.264
TT,0:05:04,0,0,,10,0.8467,0,
GN,0:03:01,0,0,,13,0.6554,0,
AD,,0,0,,0,0,0,
MZ,,0,0,,0,0,0,
PE,,,,,,,,0
UA,,,,,,,,0.358
RE,,,,,,,,0.024
UG,,,,,,,,0.017
GE,,,,,,,,0.012
SI,,,,,,,,0.491
KZ,,,,,,,,0.268
NI,,,,,,,,0.004
SK,,,,,,,,0.469
GF,,,,,,,,0.02
EE,,,,,,,,0.054
TZ,,,,,,,,0.004
CO,,,,,,,,0.179
BG,,,,,,,,0.399
AZ,,,,,,,,0.004
NG,,,,,,,,0.382
DO,,,,,,,,0.04
GT,,,,,,,,0.001
PH,,,,,,,,0.098
NZ,,,,,,,,0.105
GH,,,,,,,,0.032
LA,,,,,,,,0.047
BD,,,,,,,,0.035
KH,,,,,,,,0.081
BA,,,,,,,,0.051
ZW,,,,,,,,0.002
IL,,,,,,,,0.248
BY,,,,,,,,0.398
RS,,,,,,,,0.249
MX,,,,,,,,0.167
HN,,,,,,,,0.011
PA,,,,,,,,0.047
HR,,,,,,,,0.341
MQ,,,,,,,,0.075
CL,,,,,,,,0.092
PK,,,,,,,,0.024
ME,,,,,,,,0.04
LV,,,,,,,,0.503
KE,,,,,,,,0.054
MD,,,,,,,,0.225
CZ,,,,,,,,1.747
MK,,,,,,,,0.005
NO,,,,,,,,14.608
YE,,,,,,,,0.054
LK,,,,,,,,0.028
MY,,,,,,,,1.665
PR,,,,,,,,0
LB,,,,,,,,0.009
