Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
Total,,,,50.05,0:06:22,85.02,315836639,33573127.3133,2221969,3416569458,6.36
MaERVzdxaZQ,حفرة كتوصّل لعالم آخر,"Aug 23, 2025",1161,41.03,0:07:56,100,1103205,145961.1178,7035,12261285,6.4
M-nx5k2w2xc,دخلت تجربة بـ 5000 دولار… و لقيت راسي محبوس فالجحيم,"Nov 21, 2025",1226,48.15,0:09:50,100,894225,146629.0354,4319,12975300,4.75
uS94ASa2FvE,الرحلة الملعونة (الجزء الثاني) : الريح طير لينا الخيمة,"Jun 2, 2022",806,59.03,0:08:03,100,1201203,161416.5389,2291,7457882,7.41
75xxBnTy544,FAWDA 01 - (ft Kawtar Bamo & Milfaya),"Aug 10, 2025",1988,35.36,0:11:43,100,1178754,230196.5937,8379,15618558,5.37
Ca-RAevS4GI,ميمكنش مضحكش #3 : صيفط لينا شي س... باش نديباناو,"Dec 11, 2020",568,55.24,0:05:13,100,945624,82423.2882,8767,8970287,7.18
t1FDtfzo0rk,باراكا من التنمر,"Feb 6, 2021",483,50.88,0:04:05,100,537061,36664.2313,2274,4751987,7.78
NdsGnmdlKoA,ها علاش مكنحملش اللغة الفرنسية🤣,"Sep 10, 2022",683,40.41,0:04:35,100,1697136,130104.0195,9736,18345301,5.77
fVmTzouMv_s,الحلقة الأخيرة : الحقيقة 💀,"Jan 30, 2026",3707,31.8,0:19:38,100,479674,157075.8316,1115,3729236,8.03
 -m-frCciswQ,CYBER F 2009 - PART 2 |  MSN يامات,"Apr 8, 2021",659,56.78,0:06:14,100,647477,67303.803,2776,6403290,6.64
jNmYcM785co,الخدمة ديالي هي نتفرج فالناس كيموتو,"Jul 16, 2025",1146,50.23,0:09:35,100,1059564,169424.7688,6816,13880278,5.2
wx_khUJG810,لَائِحة لقِيتْهَا مْكتُوبَة بخَط يدِي و ما عَاقْلش علِيهَا,"Sep 26, 2025",1308,43.3,0:09:26,100,719746,113238.2474,2091,7013097,7.09
y6U7QKzQdHU,ميمكنش مضحكش #30 : فاش كتفكر بالعزيزة الغالية ديالك 😂😂,"Mar 15, 2023",643,58.31,0:06:18,100,377082,39639.6087,666,3003351,8.66
Yy3iXsAIink,!! 😂😂 ميمكنش مضحكش #26 : فاش كضرب صبع رجليك الصغير مع الأرض,"Dec 12, 2022",618,62.83,0:06:28,100,584526,63041.2254,2651,5860246,6.92
CqyMOABDI_g,L3GEZ.exe,"Mar 2, 2020",423,56.82,0:04:00,100,757912,50596.8381,2663,6140385,8.9
QbJUgqD7G5Q,عمي ... ولكن عمره ما كان موجود,"Jun 21, 2025",645,57.96,0:06:13,100,719083,74673.1623,3077,8610532,5.99
TFW1X_kEiXs,SANDWICH D LGER3A !! WTF,"Jan 5, 2021",482,54.48,0:04:22,100,478806,34923.2578,1385,4563351,6.8
EHYYSK93aHI,أَغرب طرق العِلاَج القديمة 😂 (الجزء الثاني),"Jun 24, 2024",855,47.26,0:06:44,100,430101,48279.0145,1467,3712752,8.18
SCG50N21tc4,فاش كدخل فيسبوك أول مرة ، الله يشافي لقلووووووب,"Aug 14, 2020",385,61.57,0:03:57,100,431504,28412.0486,2059,3895920,7.4
eT6XlQX3D4c,بيمو فتمازيغت 🥸,"Dec 20, 2023",1435,42.42,0:10:08,100,793233,134129.5238,2869,9579815,5.04
AL_UU3klRwA,DAY 1 IN JAPAN 🇯🇵 : تحقق الحلم الحمدلله,"Feb 4, 2024",1166,46.05,0:08:56,100,1075473,160420.7001,6014,12825373,5.65
zt7ord1BTsM,😘تعلم كيف تحصل على حبيبة مع ملك الغَمَزَات,"May 28, 2023",471,45.88,0:03:40,100,354334,21722.1713,447,3352027,7.15
1GF1HIhbTG0,THAILAND 🇹🇭 #2 : مشينا شفنا أكبر تمثال بودا (من الذهب) في العالم,"Oct 18, 2022",619,59.91,0:06:10,100,544592,56100.9111,1347,6017254,6.22
