Source de trafic,Durée moyenne d'une vue,Pourcentage moyen de vidéo regardé (%),Vues,Durée de visionnage (heures),Impressions,Taux de clics par impression (%)
Total,0:06:19,50.02,321197787,33879982.3564,3449958144,6.36
Suggestions de vidéos,0:07:14,55.22,92301631,11145027.5634,1110776301,5.86
Playlists,0:07:00,63.56,4842298,566045.2387,58357229,3.87
Fiches et annotations de vidéos,0:06:59,54.98,11078,1291.9046,,
Écrans de fin,0:06:32,53.8,3523901,384093.6571,,
Pages de la chaîne,0:06:03,49.47,26448711,2671781.389,574284099,3.99
Fonctionnalités de navigation,0:06:01,48.25,131780821,13234186.4355,1450665032,7.39
Notifications,0:05:59,52.32,6452456,643787.5325,,
Recherche YouTube,0:05:55,47.37,25369680,2502450.7758,255875483,8.6
Pages avec hashtags,0:05:36,51.77,13822,1293.5232,,
Autres fonctionnalités YouTube,0:05:35,43.39,24705665,2301521.2808,,
Live Redirect,0:05:28,55.55,4,0.3651,,
Source directe ou inconnue,0:04:40,33.57,4486981,350108.709,,
Externe,0:03:58,31.85,1159351,76642.8364,,
Shorts associés,0:03:24,21.79,7,0.3983,,
Vidéo remixée,0:03:20,25.08,26,1.4469,,
Publicité sur YouTube,0:02:26,20.14,19938,810.9348,,
Fiches de campagne,0:01:35,12.77,1,0.0264,,
Pages de sons,0:01:11,27.34,238,4.5697,,
Flux en direct vertical,0:00:53,6.87,2,0.0297,,
"Flux ""Shorts""",0:00:37,52.46,76168,775.0278,,
