position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",XDOSVfvz1yY,2026-04-17T19:07:53Z,"2026-04-17 19:07:53","L'3IYADA | عيط لينا درّي خسر ثمن شقّة باش يعالج الإدمان","-kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha",,24,Entertainment,,PT1H47M41S,2861,2d,hd,false,ar,ar,https://i.ytimg.com/vi/XDOSVfvz1yY/maxresdefault.jpg,1,,,,,40632,1440,,0,237
2,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",X5a-5tWhC3w,2026-04-15T21:01:17Z,"2026-04-15 21:01:17","كيفاش تحبس البلية؟ قصص تعافي لشباب تغلبوا على الإدمان | Zero Blya ","زيرو بلية و رحلة التعافي من الادمان !! -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha","Zero blya,رحلة التعافي,Bilal fraiha,More bilal",24,Entertainment,,PT1H19M49S,1189,2d,hd,false,ar,ar,https://i.ytimg.com/vi/X5a-5tWhC3w/maxresdefault.jpg,1,,,,,77121,2749,,0,359
3,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",8JUMZwPqzsY,2026-04-11T22:14:51Z,"2026-04-11 22:14:51","قبل ماتفكّر تسافر لإيطاليا .. تفرج فهاد الفيديو ( شحال تكلفة السفر؟؟ )","عندك ڤيزا شنغن و بغيتي تسافر لإيطاليا؟؟ هاد الفيديو ليك شحال خسرت د الفلوس فالتسافيرة و شنو أحسن المدن اللي زرت فالطاليان؟ Sponsor: Www.sendwave.com Code PROMO: BILAL 10 -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha CHAPTERS: 00:00 Intro نصبة فتذكرة الطيارة 02:15 واش روما تستاهل 03:26 تكاليف الكراء 04:21 08:12 المركوب و المواصلات فإيطاليا 10:14 ثقافة إيطاليا 11:34 الأكل فالطاليان 18:01 البندقية 21:20 أجمل منطقة بحيرة كومو 24:19 حضي من هاد القضية 25:37 كيفاش ما يتنصبش عليك فإيطاليا 28:28 بشحال تقامت التسافيرة 31:48 واش إيطاليا تستاهل؟","Bilal fraiha,More bilal,Vlogs,Morocco,Italy,Europe,سياحة,سفر,Traveling vlogs",24,Entertainment,Tourism,PT41M10S,2470,2d,hd,false,ar,ar,https://i.ytimg.com/vi/8JUMZwPqzsY/maxresdefault.jpg,1,,,,,92319,3396,,0,199
4,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",CaByUj14UMM,2026-04-04T20:28:01Z,"2026-04-04 20:28:01","سافرت لأجمل بحيرة فإيطاليا 🇮🇹 مايمكنش هاد البلاصة تكون حقيقية 😍 | ( بحيرة كومو ) Lake Como ","Lake Como Italy - Europe vlogs with Bilal Fraiha -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha","Bilal fraiha,Even more bilal,Vlogs italy,Lake como,Milano",24,Entertainment,"Lifestyle_(sociology),Tourism",PT41M49S,2509,2d,hd,false,ar,ar,https://i.ytimg.com/vi/CaByUj14UMM/maxresdefault.jpg,1,,,,,219362,7566,,0,369
5,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",AYUuWiFlrHg,2026-04-02T19:41:35Z,"2026-04-02 19:41:35","وصلت لمدينة عائمة فوق الماء 🇮🇹 وجرّبت السباغيتي الإيطالية 😍 | فينيسيا (البندقية) - Venice","Venice - italy 🇮🇹 Europe vlogs with Bilal Fraiha -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha","Bilal fraiha,Even more bilal,Vlogs,Italy,Venice,البندقية,فينيسيا,Morocco",24,Entertainment,"Food,Lifestyle_(sociology),Tourism",PT47M13S,2833,2d,hd,false,ar,ar,https://i.ytimg.com/vi/AYUuWiFlrHg/maxresdefault.jpg,1,,,,,178716,7827,,0,405
6,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",voDaHhkR_e8,2026-03-31T21:19:30Z,"2026-03-31 21:19:30","تجربة أكل الشوارع فأجمل مدينة إيطالية | FLORENCE - ITALY🇮🇹","Florence - italy 🇮🇹 europe vlogs with Bilal Fraiha -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha","Bilal fraiha,Even more bilal,Europe vlogs,Italy,إيطاليا,Florence,More bilal no filter",24,Entertainment,"Food,Lifestyle_(sociology),Tourism",PT54M37S,3277,2d,hd,false,ar,ar,https://i.ytimg.com/vi/voDaHhkR_e8/maxresdefault.jpg,1,,,,,310601,9694,,0,656
7,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",ED0xaI2Ewo8,2026-03-29T19:07:46Z,"2026-03-29 19:07:46","أول مرة نسافر لإيطاليا 🇮🇹 ماتخيلتهاش هاكا.. و كانو غاينصبو عليا الأفارقة | ROMA, ITALY","ها حنا بدّينا المغامرة من Rome, Italy 🇮🇹🔥 هادي أول حلقة من سلسلة لفلوگات فإيطاليا، فين درنا جولة فشوارع روما، عشنا الأجواء، وشفتو معانا واحد الجانب مختلف من المدينة اللي معروفة بتاريخها وجمالها فين غادي نمشي من بعد؟ واش تقدروا تقلعو ؟ كتبو ليا فكومنتير 👀 Stay tuned for next vlog! 🇮🇹 -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha",,24,Entertainment,"Lifestyle_(sociology),Tourism",PT49M28S,2968,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ED0xaI2Ewo8/maxresdefault.jpg,1,,,,,292397,10815,,0,568
8,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",s50rjY_ZXUs,2026-03-22T19:40:43Z,"2026-03-22 19:40:43","هادشي اللي طرا بين بلال و الصرصور و نتوما حكمو","Formation : https://sarsorelakil.gumroad.com/l/course Code Promo : morebilal -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha",,24,Entertainment,,PT1H13M47S,827,2d,hd,false,ar,ar,https://i.ytimg.com/vi/s50rjY_ZXUs/maxresdefault.jpg,1,,,,,126290,4783,,0,231
9,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",QMh_lEuX76U,2026-03-20T18:57:42Z,"2026-03-20 18:57:42","حوار حصري مع أفضل جوج مقاتلين مغاربة حاليا | ZALAL & RAHIKI","فهاد الفيديو، جمعنا جوج من أفضل المقاتلين المغاربة فـ UFC: Youssef Zalal و Marwan Rahiki 🇲🇦🔥 بدينا بيوسف زلال و سولناه على الفايت ديالو، هضرنا على: • النزال ديالو ضد Aljamain Sterling • التحضيرات ديالو فرمضان و من بعدو • الستريك ديالو (8 انتصارات متتالية 🔥) • والهدف ديالو يوصل للحزام من بعد، جمعنا زلال و مروان رحيقي فـنفس الستريم لأول مرة، و كان نقاش زوين بيناتهم على: • المستوى الحقيقي فالـUFC • آخر نزال لمروان • مستقبل المقاتلين المغاربة وفي الأخير، ختّمنا مع Marwan Rahiki من بعد أول فايت ليه فالـUFC، اللي ربح فيه بـ KO/TKO وخدا Fight of the Night 💥 و إيلا تانتا ولا نتي كنتي فان ديال UFC و عجبك هاد الستريم التاريخي و بغيتوني نكتر ليكم من المحتوي على MMA. خلي ليا لايك و سبسمرايب باش يوصلوك آخر الفيديوات 🫡🫡🫡 تحية لكاع الصرادة فينما كانو 🫶🐏 -kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha",,24,Entertainment,"Mixed_martial_arts,Sport",PT1H35S,35,2d,hd,false,ar,ar,https://i.ytimg.com/vi/QMh_lEuX76U/maxresdefault.jpg,1,,,,,80835,4032,,0,297
10,UC2_iEYPEi8DETckwe0CNsGw,"More Bilal No Filter",xd-uyj5P0xU,2026-03-17T00:03:43Z,"2026-03-17 00:03:43","قصة كفاح شاب كبر فالخيرية بدون والدين .. و نجح رغم المعاناة ","-kick: https://kick.com/morebilal -Discord: https://discord.gg/stronghive -Instagram : https://www.instagram.com/bilal.fraiha -Main Channel : / ​ ​⁠ @bilalfraiha",,24,Entertainment,,PT1H55M21S,3321,2d,hd,false,ar,ar,https://i.ytimg.com/vi/xd-uyj5P0xU/maxresdefault.jpg,1,,,,,107709,4396,,0,248
