position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",6vGkHVs4GXs,2026-04-24T18:00:24Z,"2026-04-24 18:00:24","قبضت علي الشرطة الفرنسية ","Live f Kick Koula nhar m3a 22.30h derbou follow lets goooo https://kick.com/ahmedsabiri For businesses and collab : ahmedsabiri.contact@gmail.com Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabiritwitch,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,bilal fariha,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,Reaction,ahmed sabiri | كشخة مكشوخة,speed dating in morroco,Tendence maroc,bnsns,#Jamshow,#RapMaroc,#HipHop,elgrandetoto,Vira,viravs6win,Jamshow,Kawaliss,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Le bledar,Sabiri le bledar",22,"People & Blogs",Society,PT16M23S,983,2d,hd,false,en,ar,https://i.ytimg.com/vi/6vGkHVs4GXs/maxresdefault.jpg,1,,,,,84831,6851,,0,663
2,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",1j_F1sYyI_Y,2026-04-19T14:00:54Z,"2026-04-19 14:00:54","أكل الشوارع في مدينة مدريد | Madrid Street Food 🇪🇸","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs","Food,Lifestyle_(sociology)",PT32M23S,1943,2d,hd,false,en,ar,https://i.ytimg.com/vi/1j_F1sYyI_Y/maxresdefault.jpg,1,,,,,248408,11249,,0,729
3,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",17Q_qONMcTU,2026-04-15T17:15:30Z,"2026-04-15 17:15:30","🤕 تبخر الحلم مرة اخرى، دوروني المشجعين ديال اتلتيكو وسط مدريد","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs","Association_football,Lifestyle_(sociology)",PT36M29S,2189,2d,hd,false,ar,ar,https://i.ytimg.com/vi/17Q_qONMcTU/maxresdefault.jpg,1,,,,,134770,5440,,0,1609
4,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",n62aZPiOMe0,2026-04-14T22:02:16Z,"2026-04-14 22:02:16","De3na a chabab, visca barça💙❤️",,,22,"People & Blogs","Association_football,Sport",PT12S,12,2d,hd,false,es,ar,https://i.ytimg.com/vi/n62aZPiOMe0/maxresdefault.jpg,1,,,,,54466,1702,,0,225
5,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",HIrKF04VzHg,2026-03-18T18:00:41Z,"2026-03-18 18:00:41","Ahmedsabiri Réaction - 🏆🦁 أخيرا المغرب بطل إفريقيا، أغرب سيناريو في التاريخ","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs","Association_football,Sport",PT27M16S,1636,2d,hd,false,fr,ar,https://i.ytimg.com/vi/HIrKF04VzHg/maxresdefault.jpg,1,,,,,162552,6243,,0,531
6,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",sOzzZbGMK6E,2026-03-14T18:00:39Z,"2026-03-14 18:00:39","Ahmedsabiri Storytime - 😨 أخي يحكي قصته وتجربته في التجنيد شاف جنون","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs",,PT37M19S,2239,2d,hd,false,ar,ar,https://i.ytimg.com/vi/sOzzZbGMK6E/maxresdefault.jpg,1,,,,,371163,15380,,0,865
7,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",lcOCF4IozZw,2026-03-07T20:00:29Z,"2026-03-07 20:00:29","Ahmedsabiri Storytime - 😨 كانو غدي إخطفوني ف صغري","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs",,PT21M6S,1266,2d,hd,false,en,ar,https://i.ytimg.com/vi/lcOCF4IozZw/maxresdefault.jpg,1,,,,,328702,14232,,0,1264
8,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",cTVU1KAX52k,2026-03-02T18:00:41Z,"2026-03-02 18:00:41","Ahmed Sabiri Gaming Setup Tour - ✨ وا اخيرا انوريكم الماترييل لي كنخدم بيه","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs","Lifestyle_(sociology),Technology",PT24M24S,1464,2d,hd,false,ar,ar,https://i.ytimg.com/vi/cTVU1KAX52k/maxresdefault.jpg,1,,,,,372894,21981,,0,2450
9,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",mdzeJohRItg,2026-02-27T18:12:14Z,"2026-02-27 18:12:14","Ahmedsabiri Storytime - الحقية ديال كيفاش ولا وجهي بحال هكا","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs",,PT31M48S,1908,2d,hd,false,ar,ar,https://i.ytimg.com/vi/mdzeJohRItg/maxresdefault.jpg,1,,,,,730092,31317,,0,1995
10,UCC4PkXCup_rjEjyGfsYYmpg," Ahmed Sabiri 2.0 ",BhxX2jzPu4E,2026-02-22T20:45:25Z,"2026-02-22 20:45:25","Ahmedsabiri Réaction BNSNS - 😨 بنسنس دخل ل قصر مسكون","Live f Kick Koula nhar m3a 21.30 h Ajiw Marhba Bikom https://kick.com/ahmedsabiri Chaine Gaming : https://www.youtube.com/channel/UCpon9Ts3C30ykOnVHHkqCQQ For businesses and collab : ahmedsabiri.contact@gmail.com ✨Join my Social Media Discord ! https://discord.gg/VvADgpxfKS Instagram: https://www.instagram.com/ahmedsaabiri/ TikTok https://www.tiktok.com/@ahmedsaabiri Page FACEBOOK https://www.facebook.com/Ahmedsaabiri0","ahmedsabiri,storytime,sabiri,ahmedsabiristory,ahmedsabirivlog,Ahmed Sabiri | كشخة مكشوخة,clash,rapmaroc,ahmedsabirireactionn,bnsnss,Ahmedsabiri Reaction,ahmed sabiri | كشخة مكشوخة,Tendence maroc,bnsns,#RapMaroc,elgrandetoto,Tendence,ahmedsabirikick,ahmedsabirilebledard,ahmedsabirireactionpause,Ahmed Sabiri IRL,IRL kick,IRL morocco,kick,Sabiri le bledar,ahmedsabiriwac,ahmedsabirivswydadi,saoudi vs maroc,للمغرب ضد السعودية,Sabiri vs saoudi,ملخص مباراة الأردن والمغرب (2-3)",22,"People & Blogs",,PT25M54S,1554,2d,hd,false,fr,ar,https://i.ytimg.com/vi/BhxX2jzPu4E/maxresdefault.jpg,1,,,,,256245,11116,,0,666
