position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,IY-LPW7lgPA,2026-04-25T21:13:47Z,"2026-04-25 21:13:47","مستر كبيدة كيطلب فرجاء باش تحيد ليه دعوة و يرجع المغرب ...","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT13M37S,817,2d,hd,false,ar,ar,https://i.ytimg.com/vi/IY-LPW7lgPA/maxresdefault.jpg,1,,,,,101352,6144,,0,357
2,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,Sz40UQ0TcIM,2026-04-24T21:15:33Z,"2026-04-24 21:15:33","تعدات على راجلها وسط ناس و ضر.باتو واش هادشي نورمال ؟","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT13M47S,827,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Sz40UQ0TcIM/maxresdefault.jpg,1,,,,,97020,5871,,0,304
3,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,H16Bk7MBL8Q,2026-04-18T20:05:04Z,"2026-04-18 20:05:04","حسدو و ماحملوش ... و مشا دار نفس المشروع ديال طون","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT11M51S,711,2d,hd,false,ar,ar,https://i.ytimg.com/vi/H16Bk7MBL8Q/maxresdefault.jpg,1,,,,,182637,10377,,0,344
4,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,R2vY5HSFeOY,2026-04-18T13:44:26Z,"2026-04-18 13:44:26","روينة شاعلة فلالة لعروسة.. برانسيسة واجهت العڭوزة والصدمة كانت كبيرة!","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT11M46S,706,2d,hd,false,ar,ar,https://i.ytimg.com/vi/R2vY5HSFeOY/maxresdefault.jpg,1,,,,,164745,6979,,0,354
5,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,vUNtiYRgoi4,2026-04-17T19:25:48Z,"2026-04-17 19:25:48","أجي تشوفو كفاش حضرت الجبن الفينزويلي ... واش كيستاهل هاد ضجة و هاد تامارا","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs","Food,Lifestyle_(sociology)",PT13M4S,784,2d,hd,false,ar,ar,https://i.ytimg.com/vi/vUNtiYRgoi4/maxresdefault.jpg,1,,,,,115470,5275,,0,217
6,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,QK2H7WhtuW4,2026-04-14T20:46:20Z,"2026-04-14 20:46:20","مستر كبيدة بقا كيطير تا خرج ليه فوجهو","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT9M52S,592,2d,hd,false,ar,ar,https://i.ytimg.com/vi/QK2H7WhtuW4/maxresdefault.jpg,1,,,,,160375,9692,,0,707
7,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,vvBCUO6N1lg,2026-04-13T18:35:23Z,"2026-04-13 18:35:23","كفاش كيدوز عندي نهار ديال الخدمة 🤑💸 لقيت مشكل مع واحد سيدة 🤦‍♂️","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",Lifestyle_(sociology),PT21M41S,1301,2d,hd,false,ar,ar,https://i.ytimg.com/vi/vvBCUO6N1lg/maxresdefault.jpg,1,,,,,102647,6281,,0,484
8,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,X_wSJ9c2kgM,2026-04-10T18:20:01Z,"2026-04-10 18:20:01","جا الوقت باش نحبس ... و نتمى انكم تشجعوني","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT9M12S,552,2d,hd,false,ar,ar,https://i.ytimg.com/vi/X_wSJ9c2kgM/maxresdefault.jpg,1,,,,,115786,9829,,0,964
9,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,IFl1lKVr3RU,2026-03-13T21:35:49Z,"2026-03-13 21:35:49","سحار طلب ليا 2000 درهم و بغا يصيفطني الحبس","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT15M24S,924,2d,hd,false,ar,ar,,1,,,,,170581,10018,,0,349
10,UCHyKqXsJU6qvQWlAFRfh4HA,B3A9Lii,ZYX2r6IeXq4,2026-03-09T22:33:23Z,"2026-03-09 22:33:23","وحدة كتصاوب فطور لراجلها ب 1000 درهم فنهار و وحدة عطاوها مليون على قبل رقم الهاتف ديالها 😑","🍯 مرحبا بكم فالموقع الخاص بمنتجات العسل الطبيعي ❤️ ✅ زوروا الموقع الرسمي: https://7or100.ma/ 📦 جودة عالية وتوصيل لجميع المدن المغربية 📞 للطلبات أو الاستفسار المباشر عبر واتساب: 📲 https://wa.me/212633206876 📩 للإعلانات والتعاونات: 📧 Email: abdelouahedbenomar213@gmail.com 🔗 تابعوني على إنستغرام: 📸 https://www.instagram.com/abdelouahed_benomar 💰 الدعم على بايبال (PayPal Support): ➡️ https://www.paypal.me/abdelouahedbenomar",,22,"People & Blogs",,PT19M8S,1148,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ZYX2r6IeXq4/maxresdefault.jpg,1,,,,,174060,7851,,0,297
