position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",rNPVp8e3f5E,2026-04-25T13:01:37Z,"2026-04-25 13:01:37","Black Moussiba || 😓😡 جشع الشناقة، وغلاء حولي عيد الاضحى، مشات حلاوة العيد","في كل عام، ومع اقتراب عيد الأضحى، ترتفع أسعار الأضاحي بشكل صادم، والسبب؟ الشناقة والمضاربون الذين يستغلون حاجة الناس لهذه الشعيرة الدينية لتحقيق أرباح خيالية 💰 في هذا الفيديو، نكشف كيف يعمل هؤلاء الوسطاء، ولماذا ترتفع الأسعار بشكل غير منطقي، وكيف أصبح المواطن البسيط هو الضحية الأولى هل فعلاً هناك تلاعب في السوق؟ وهل يمكن للدولة أو المستهلك أن يوقف هذا الجشع؟ 🤔 شاهد الفيديو للنهاية واكتشف الحقيقة الكاملة! 👍 لا تنسَ الإعجاب بالفيديو 💬 شاركنا رأيك في التعليقات 🔔 واشترك في القناة لمزيد من المحتوى اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0 الموقع الرسمي : http://ww1.khalidsheriff.com/","عيد الأضحى,اضاحي العيد,اسعار الاضاحي,الشناقة,جشع التجار,غلاء الاسعار,المغرب,سوق الغنم,المضاربين,الوسطاء,عيد الاضحى 2026,الاضحية,الاسعار في المغرب,غلاء المعيشة,استغلال المواطنين,تجارة المواشي,الاغنام,سوق المواشي,اقتصاد المغرب,مشاكل العيد,ارتفاع الاسعار,الربح السريع,الاحتكار,الفلاحين,المستهلك المغربي,Aïd al Adha,prix mouton Maroc,spéculation marché,intermédiaires,inflation Maroc,marché bétail,hausse prix,consommateurs Maroc,économie Maroc",23,Comedy,,PT13M10S,790,2d,hd,false,ar,ar,https://i.ytimg.com/vi/rNPVp8e3f5E/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,105619,2578,,0,402
2,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",RpLFBSW8EIM,2026-04-22T17:45:16Z,"2026-04-22 17:45:16","Black Moussiba || 😑😅 فريزيطا، ترند فواكه الذكاء الاصطناعي تغزو التيكتوك","في الفترة الأخيرة، ولى واحد الترند غريب كيغزو تيك توك والانستغرام… فيديوهات ديال الفواكه اللي كتهضر وكتعيش قصص درامية! 😳🍓 شخصيات بحال ""فريزيتا"" ولات حديث الناس، حيث كتجمع بين الكوميديا، الدراما، والخيانة وحتى قصص صادمة! ولكن السؤال هو: علاش هاد النوع من الفيديوهات نجح بهاد السرعة؟ 🤔 وشنو السر العلمي والنفسي ورا هاد الظاهرة؟ فهاد الفيديو غادي نكشفو: كيفاش بدا ترند الفواكه المتكلمة 🍉 علاش الدماغ ديالنا كيتفاعل معاه بهاد القوة 🧠 السر اللي خلا ""فريزيتا"" تولي فيروسية 🔥 فرجة ممتعة! 🎥 اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0","ترند الفواكه,فريزيتا,فيديوهات الفواكه,فواكه تتكلم,ترند تيك توك,فيديوهات مضحكة,قصص درامية,فيديوهات قصيرة,تيك توك المغرب,ترند جديد,الذكاء الاصطناعي,فيديوهات AI,قصص خيانة,فيديوهات كوميدية,محتوى فيروسي,أسباب الترند,علم النفس,فيديوهات ترند,أفكار فيديوهات,فيديوهات مضحكة 2026,خوارزميات تيك توك,trend fruits,frezita,fruits qui parlent,tiktok trend,contenu viral,videos courtes,storytelling,algorithme tiktok,frizita,strawberita,AI,fruit,tiktok frizeta",23,Comedy,,PT12M15S,735,2d,hd,false,ar,ar,https://i.ytimg.com/vi/RpLFBSW8EIM/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,32071,1001,,0,202
3,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",5-7DTXpDIdU,2026-04-18T13:55:09Z,"2026-04-18 13:55:09","Black Moussiba || 😅😲🤣 زواج وردة شارلومانتي فراشة الواي واي الذي صدم الجميع","وردة شارلومانتي.. نجمة الراي وزواجها السابع لي صدم الجميع! 😱💍 فهاد الفيديو غادي نهضرو على المغنية الجزائرية وردة شارلومانتي، واحدة من أشهر نجمات الراي لي دارت ضجة كبيرة فالساحة الفنية 👑🎤 ولكن هاد المرة، ماشي بسبب أغانيها… بل بسبب زواجها السابع لي خلا بزاف ديال الناس يتفاجؤو! 😳💍 واش هاد القرار عادي؟ ولا فيه شي قصة مخبية؟ 🤔 وشنو كانو ردود فعل الجمهور؟ كلشي غادي تكتاشفوه فهاد الفيديو 🔥 إلا عجبك المحتوى، متنساش تدير لايك 👍 وتخلي تعليقك 💬 وتشترك فالقناة باش توصلك جديد الفيديوهات 🚀 اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0","وردة شارلومانتي,مغنية الراي,الراي الجزائري,زواج المشاهير,أخبار الفنانين,فضائح الفنانين,نجوم الجزائر,أغاني الراي,حياة الفنانين,زواج سابع,قصص المشاهير,أخبار الفن,ترند الجزائر,فيديوهات ترند,مشاهير العرب,علاقات المشاهير,قصة زواج,الراي القديم,الراي الجديد,فنانات الجزائر,أخبار النجوم,فيديو عربي,ترند اليوم,أخبار المشاهير,Warda Charlomanti,chanteuse rai,rai algérien,mariage célébrité,stars algérie,actualité people,buzz algérie,rai algerie",23,Comedy,,PT14M56S,896,2d,hd,false,ar,ar,https://i.ytimg.com/vi/5-7DTXpDIdU/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,88301,2150,,0,283
4,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",MW-Zw05Hjhc,2026-04-16T18:00:20Z,"2026-04-16 18:00:20","أغرب 5 ديانات في العالم 😳🔥 من كنيسة مارادونا حتى عبادة شريك !!! #مارادونا #ديانات #غرائب #المغرب","أغرب 5 ديانات في العالم 😳🔥 من كنيسة مارادونا حتى عبادة شريكي! واش عمرك سمعتي بديانات غريبة بحال كنيسة Diego Maradona أو ديانة Shrek؟ 🤯 فهاد الفيديو غادي نكتاشفو مع بعضنا أغرب 5 ديانات فالعالم، اللي كيآمنو بحوايج غريبة ومفاجئة! من Rastafarianism حتى Pastafarianism، غادي تشوف عالم آخر فعلاً! 📌 واش هاد الديانات حقيقية ولا غير فكرة غريبة؟ 📌 وعلاش الناس كيتبعوها؟ بقا معنا حتى الآخر وغادي تندهش 😱 👍 ماتنساوش ديرو لايك 💬 وكتب لينا فالتعليقات شنو أغرب ديانة بالنسبة ليك 🔔 وسبسكرايب باش توصلكم فيديوهات جديدة اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0","أغرب الديانات,ديانات غريبة,كنيسة مارادونا,دييغو مارادونا,الراستافاري,الباستافاري,وحش السباغيتي الطائر,شريكيزم,شريك,ديانات عجيبة,معتقدات غريبة,اغرب معتقدات,ثقافات العالم,ديانات حديثة,ديانات ساخرة,معلومات غريبة,حقائق صادمة,فيديوهات ترند,اغرب قصص,غرائب العالم,ديانات غير معروفة,فيديو عربي,محتوى ترفيهي,اكتشافات غريبة,قصص مذهلة,religions étranges,croyances insolites,église maradona,rastafarisme,pastafarisme,monstre spaghetti",23,Comedy,Knowledge,PT2M59S,179,2d,hd,false,ar,ar,https://i.ytimg.com/vi/MW-Zw05Hjhc/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,41970,1021,,0,93
5,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",ViHtWIiDPaM,2026-04-13T17:32:59Z,"2026-04-13 17:32:59","Black Moussiba || 🤔🤣مي نعيمة جدة المغاربة، الكسكس المغربي في الفضاء","واش عمرك تخيلتي الكسكس المغربي يوصل حتى للفضاء؟ 🤯 فهاد الفيديو غنهضرو على واحد الحدث الغريب والمثير، فين الكسكس ديالنا ولى حديث العالم مع رحلة Artemis 2 mission 🚀 ولكن المفاجأة الكبيرة ماشي غير هنا… فـ الصخيرات، تم اكتشاف بقايا إنسانية كتعود لأكثر من 6400 سنة! 😳 والأغرب من هذا كامل، أن بزاف ديال الناس قالو باللي الشكل ديالها كيشبه “أمي نعيمة البدوية” 😂 واش ممكن تكون فعلاً “جدة المغاربة”؟ ولا غير صدفة؟ فهاد الفيديو غنكشفو التفاصيل الكاملة، بين العلم والطرافة 😄 👈 دير لايك 👍 وخلي رأيك فالكومونت: واش فعلاً المغاربة واصلين حتى للفضاء… ؟ 😆 اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0","الكسكس المغربي,الكسكس في الفضاء,ارتيميس 2,ناسا,المغرب والفضاء,الصخيرات,اكتشاف أثري المغرب,جدة المغاربة,امي نعيمة البدوية,تاريخ المغرب,حضارة المغرب,اكتشافات أثرية,الفضاء,رحلة فضائية,ناسا المغرب,اخبار المغرب,طرائف مغربية,مغاربة,قصص غريبة,حقائق مذهلة,علم الآثار,المغرب القديم,حضارة قديمة,اكتشاف جديد,المغرب ترند,artemis 2,couscous marocain,couscous espace,Artemis 2,NASA,Maroc espace,Skhirat,découverte archéologique,histoire Maroc",23,Comedy,,PT11M28S,688,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ViHtWIiDPaM/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,64256,1589,,0,170
6,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",giw4JCAW88A,2026-04-12T13:25:09Z,"2026-04-12 13:25:09","🔴غلاء اسعار تذاكر مونديال امريكا، مونديال الاغنياء والنخبة 😓😑⚽️ #المغرب #كأس_العالم #football","في هذا الفيديو غنهضرو على واحد الموضوع لي ولى حديث العالم كامل: غلاء أسعار تذاكر مونديال 2026 ⚽💸 واش فعلاً غادي يكون أغلى مونديال فالتاريخ؟ وشنو الأسباب الحقيقية ورا هاد الارتفاع الصاروخي؟ غنشوفو الأرقام، مقارنة مع المونديالات السابقة، وشنو تأثير هاد الشي على الجماهير خاصة العرب والمغاربة 🇲🇦 واش غادي تولي الفرجة فالمونديال غير للأغنياء؟ ولا كاين حلول؟ 🤔 ما تنساوش ديرو لايك 👍 وسبسكرايب 🔔 باش توصلكم آخر الفيديوهات ديال الأخبار والتحليلات الساخنة! اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0","مونديال 2026,اسعار تذاكر مونديال 2026,غلاء التذاكر,كأس العالم 2026,تذاكر المونديال,فيفا 2026,مباريات كأس العالم,كرة القدم,اخبار الكرة,جماهير كرة القدم,المغرب مونديال 2026,السفر للمونديال,تذاكر غالية,تحليل مونديال 2026,فيفا,امريكا كندا المكسيك,مباريات المنتخب المغربي,جمهور المغرب,اسعار خيالية,مونديال امريكا,مشاكل التذاكر,اقتصاد كرة القدم,تذاكر VIP,جماهير العرب,صدمة المونديال,Coupe du Monde 2026,billets FIFA,football mondial",23,Comedy,"Association_football,Sport",PT1M20S,80,2d,hd,false,ar,ar,https://i.ytimg.com/vi/giw4JCAW88A/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,37221,746,,0,64
7,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",G-2XsH8H-g8,2026-04-09T18:49:07Z,"2026-04-09 18:49:07","🔴 كاهن هندي يرفع ذراعه منذ 52 سنة 😳 قصة الهندي الغريبة! 😲😲 #الهند #ديانات #الهندوسية #غرائب","قصة صادمة وغريبة من الهند! 😱 الرجل الذي لم ينزل ذراعه منذ 52 سنة 😳 قصة الكاهن الهندي الغريبة! الكاهن الهندي أمار بهارتي قرر يرفع يده منذ أكثر من نصف قرن بدون ما ينزلها! السبب؟ التعبد للإله شيفا 🙏 كيفاش قدر يعيش بهاد الشكل؟ وشنو وقع ليده بعد هاد السنوات؟ وهل فعلاً ممكن جسم الإنسان يتحمل هاد الشي؟ فهاد الفيديو غادي نكتاشفو التفاصيل الغريبة ديال هاد القصة اللي حيرت العالم 🌍 ما تنساش تدعمنا بلايك 👍 واشتراك 🔔 اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0 الموقع الرسمي : http://ww1.khalidsheriff.com/","أمار بهارتي,الكاهن الهندي,قصة غريبة,قصص حقيقية,الهند,شيفا,ديانة الهندوس,غرائب العالم,اغرب انسان,رجل رفع يده,قصص مذهلة,حقائق غريبة,وثائقي قصير,قصص دينية,ظواهر غريبة,انسان خارق,قصص الهند,فيديو غريب,معلومات غريبة,قصص نادرة,اغرب القصص,رجل لم ينزل يده,معجزات بشرية,قصص عالمية,غرائب البشر,Amar Bharati,homme incroyable,histoire étrange,Inde,Shiva,faits étonnants,curiosités,phénomène humain,documentaire court,histoire vraie",23,Comedy,,PT1M22S,82,2d,hd,false,ar,ar,https://i.ytimg.com/vi/G-2XsH8H-g8/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,12339,381,,0,71
8,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",OQGF3JPF6e0,2026-04-08T19:00:17Z,"2026-04-08 19:00:17","التصعيد في قطاع غزة، ولماذا تتركز العمليات العسكرية هناك بينما تبدو الضفة الغربية أقل حضورا؟ 👍🏻🇵🇸🇵🇸","في هذا الفيديو نناقش التصعيد الأخير في قطاع غزة، ولماذا تتركز العمليات العسكرية هناك بينما تبدو الضفة الغربية أقل حضورا في المشهد الإعلامي. هل الأمر صدفة؟ أم أن هناك حسابات سياسية وعسكرية معقدة وراء هذا الاختلاف؟ كما نسلط الضوء على مشروع ""قناة بن غوريون"" الذي يثير الكثير من الجدل، ونكشف علاقته المحتملة بما يحدث في المنطقة، ولماذا يعتبره البعض أحد أهم الأسباب غير المعلنة للصراع. 📌 هل فعلاً هناك مخطط استراتيجي أكبر من مجرد حرب؟ 📌 ولماذا يتم التركيز على غزة دون الضفة؟ 📌 وما حقيقة قناة بن غوريون وتأثيرها على المنطقة؟ شاهد الفيديو للنهاية لفهم الصورة الكاملة. اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0 الموقع الرسمي : http://ww1.khalidsheriff.com/","غزة,قطاع غزة,فلسطين,الضفة الغربية,الاحتلال,اسرائيل,حرب غزة,اخبار غزة,قصف غزة,فلسطين اليوم,المقاومة الفلسطينية,قناة بن غوريون,مشروع بن غوريون,صراع الشرق الاوسط,اخبار فلسطين,تحليل سياسي,ماذا يحدث في غزة,الضفة الغربية اليوم,غزة الان,اخبار عاجلة,القضية الفلسطينية,الاحتلال الاسرائيلي,حرب فلسطين,الشرق الاوسط,اسرار سياسية,gaza,ghaza,palestin",23,Comedy,Knowledge,PT1M30S,90,2d,hd,false,ar,ar,https://i.ytimg.com/vi/OQGF3JPF6e0/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,99039,1622,,0,88
9,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",Wh1xCqZ0A6w,2026-04-06T17:30:16Z,"2026-04-06 17:30:16","تسديدة بانينكا ⚽ القصة الكاملة وراء أخطر ركلة جزاء في تاريخ كرة القدم! #كرة_القدم #بانينكا #panenka","واش عمرك تساءلتي علاش كتسمى ""تسديدة بانينكا""؟ 🤔 واش هي مجرد حركة استعراضية ولا عندها قصة تاريخية كبيرة؟ في هاد الفيديو غادي نحكيو القصة الحقيقية وراء تسديدة بانينكا، اللحظة اللي حبسات أنفاس العالم كامل فنهائي كأس أوروبا 1976، وكيفاش اللاعب التشيكوسلوفاكي أنطونين بانينكا دخل التاريخ بتسديدة جريئة خلات الحارس يتفرج غير فالكورة وهي داخلة للشباك! غادي نرجعو لنهائي الأسطوري بين ألمانيا الغربية وتشيكوسلوفاكيا، ونشوفو كيفاش هاد الركلة ولات رمز للثقة والبرودة الأعصاب، وكيفاش نجوم كبار بحال زيدان وبيرلو طبقوها من بعد. إلى كنتي من عشاق كرة القدم والتاريخ ديالها، هاد الفيديو غادي يعجبك بزاف ⚽🔥 اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0 الموقع الرسمي : http://ww1.khalidsheriff.com/","تسديدة بانينكا,بانينكا 1976,قصة بانينكا,تاريخ ضربات الترجيح,أغرب ركلة جزاء,مهارات كرة القدم,تاريخ اليورو,نهائي 1976,ضربات الجزاء,ركلة جزاء ذكية,مهارات لاعبين,لحظات تاريخية في كرة القدم,كرة القدم الأوروبية,أسرار كرة القدم,تحليل رياضي,ثقافة كروية,أساطير كرة القدم,ركلات ترجيح تاريخية,تسديدة وسط المرمى,جرأة اللاعبين,مهارات عالمية,قصص كروية,بانينكا الأصلية,كرة القدم الكلاسيكية,لحظات لا تنسى,Panenka,Antonin Panenka,Euro 1976,penalty Panenka",23,Comedy,"Association_football,Sport",PT1M31S,91,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Wh1xCqZ0A6w/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,4751,194,,0,11
10,UCGhuGD-LE45GLqSMaxN3Hsw,"Black Moussiba",JklKBK9VjDQ,2026-04-05T16:54:02Z,"2026-04-05 16:54:02","اختراع QR CODE 🔥 أعظم هدية مجانية غيرت العالم إلى الأبد! #اكسبلور #QRCode #toyota","في هذا الفيديو غادي نهضرو على واحد من أعظم الاختراعات اللي تبدلات بها الحياة ديالنا بلا ما نحسو… إنه QR CODE 👀📱 واش عمرك تساءلتي شكون اخترعو؟ وفين بدات القصة؟ وكيفاش ولى حاضر فالمطاعم، البنوك، الإدارات، التذاكر، وحتى فالأعمال الخيرية؟ غادي نرجعو لسنة 1994 مع المهندس الياباني Masahiro Hara اللي كان خدام فشركة Denso Wave، واللي دار هاد الابتكار باش يسهل تتبع قطع السيارات… ولكن المفاجأة؟ 🤯 الشركة قررات تخليه مجاني ومفتوح للعالم كامل! اليوم، QR Code ولى جزء من حياتنا اليومية، وخصوصاً من بعد جائحة COVID-19 اللي سرعت الاعتماد عليه عالمياً. فهاد الفيديو غادي تكتاشف: القصة الحقيقية وراء اختراع QR Code علاش تدار مجاني بلا براءة احتكار كيفاش بدل التجارة والتكنولوجيا واش يقدر يختفي مستقبلاً؟ إلى عجبك المحتوى، ما تنساش تدير 👍 لايك، 💬 كومونت، و 🔔 تفعيل الجرس باش توصلك فيديوهات جديدة ومثيرة! اشترك الان لمشاهدة المزيد من البرامج الكوميدية http://bit.ly/1e2OZJZ قناة خالد شريف الثانية من هنا http://bit.ly/2bOdwG0 تابعونا ايضا علي بلاك موصيبة علي الفيسبوك : http://bit.ly/2bBkJEC صفحة خالد شريف الرسمية علي الفيسبوك: http://bit.ly/2c4ItSJ تويتر: http://bit.ly/1B262Gj انستجرام : http://bit.ly/2bOdwG0 الموقع الرسمي : http://ww1.khalidsheriff.com/","كود QR,اختراع QR,قصة QR CODE,مخترع QR,ماساهيرو هارا,تاريخ QR كود,التكنولوجيا اليابانية,اختراعات غيرت العالم,اعظم اختراع مجاني,ثورة رقمية,التحول الرقمي,استخدام QR كود,QR في المغرب,QR في المطاعم,الدفع عبر QR,معلومات عن QR CODE,قصة نجاح يابانية,ابتكار ياباني,عالم التكنولوجيا,اسرار QR كود,كيف يعمل QR كود,تطور الباركود,مستقبل QR كود,QR بعد كورونا,تقنية المسح السريع",23,Comedy,,PT1M30S,90,2d,hd,false,ar,ar,https://i.ytimg.com/vi/JklKBK9VjDQ/maxresdefault.jpg,1,,Maroc,31.791702,-7.09262,6095,281,,0,14
