position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",Rse3x17y4iY,2026-04-23T21:50:12Z,"2026-04-23 21:50:12","الحلقة 415 : غار عليها بلا حدود … والغيرة رجعات بكارثة…قصة مؤثرة…خراز يحكي",,,22,"People & Blogs",,PT33M9S,1989,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Rse3x17y4iY/maxresdefault.jpg,1,,,,,195203,7966,,0,634
2,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",Q42wdjf_Kxc,2026-04-18T20:34:46Z,"2026-04-18 20:34:46","الحلقة 414 : قصة عشتها…بين الفقر وكثرة الدراري، كان خاصو يكون سند…لكنه اختار الطريق الساهل.خراز يحكي",,,22,"People & Blogs",,PT44M50S,2690,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Q42wdjf_Kxc/maxresdefault.jpg,1,,,,,322902,10435,,0,1668
3,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",UPjDcMokabM,2026-04-11T20:59:54Z,"2026-04-11 20:59:54","الحلقة 413 :قصة بنت تزوجات بلا حب، ولكن الماضي ديالها رجع يقلب حياتها لجحيم…خراز يحكي",,,22,"People & Blogs",,PT37M4S,2224,2d,hd,false,ar,ar,https://i.ytimg.com/vi/UPjDcMokabM/maxresdefault.jpg,1,,,,,402354,11243,,0,775
4,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",q6KK-YJJDD0,2026-04-04T22:10:54Z,"2026-04-04 22:10:54","الحلقة 412 : قصة بدات وانا طفل صغير…. و كملات وانا فصفوف الشرطة… قصة للعبرة… خراز يحكي",,,22,"People & Blogs",Religion,PT49M2S,2942,2d,hd,false,ar,ar,https://i.ytimg.com/vi/q6KK-YJJDD0/maxresdefault.jpg,1,,,,,437002,12431,,0,868
5,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",BYccX7k8wLs,2026-03-28T21:21:29Z,"2026-03-28 21:21:29","الحلقة 411 : الغلطة الوحيدة لي دارت هي الثقة فاقرب الناس…. غلطة كلفاتها حياتها…خراز يحكي",,,22,"People & Blogs",,PT30M19S,1819,2d,hd,false,ar,ar,https://i.ytimg.com/vi/BYccX7k8wLs/maxresdefault.jpg,1,,,,,433380,11498,,0,826
6,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",bOjxMUIxBnE,2026-03-21T21:32:19Z,"2026-03-21 21:32:19","الحلقة 410 :الزهر لكحل…قصة منحوس بدات بشكل عادي… ولكن اللي وقع من بعد مكيتصدقش…خراز يحكي",,,22,"People & Blogs",,PT29M,1740,2d,hd,false,ar,ar,https://i.ytimg.com/vi/bOjxMUIxBnE/maxresdefault.jpg,1,,,,,431934,10955,,0,489
7,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",s_pNMCTVGzU,2026-03-20T11:15:00Z,"2026-03-20 11:15:00","بمناسبة عيد الفطر… أطيب التهاني وأصدق الدعوات…2026",,,22,"People & Blogs",Religion,PT1M4S,64,2d,hd,true,ar,ar,https://i.ytimg.com/vi/s_pNMCTVGzU/maxresdefault.jpg,1,,,,,38436,3176,,0,323
8,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",k0Q3p1h6QdM,2026-03-19T23:27:30Z,"2026-03-19 23:27:30","الحلقة 29 : بنت غبرات حتى لقاوها ملاوحا فالغابة… والفاعل بان مورا بحث غريب… رمضان 2026",,,22,"People & Blogs",Religion,PT25M53S,1553,2d,hd,false,ar,ar,https://i.ytimg.com/vi/k0Q3p1h6QdM/maxresdefault.jpg,1,,,,,332102,9300,,0,415
9,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",LXZXL220r3k,2026-03-18T23:11:21Z,"2026-03-18 23:11:21","الحلقة 28 : القرقوبي لقا منو صاك… و فاش رجع البحث لمولاه … لقاوه داير كارثة… رمضان 2026",,,22,"People & Blogs",Religion,PT25M38S,1538,2d,hd,false,ar,ar,https://i.ytimg.com/vi/LXZXL220r3k/maxresdefault.jpg,1,,,,,281027,8196,,0,430
10,UCCPQpi9U-iXFWlMSUg_nxTw,"Abdelkader Kharraz",tc1g7q3Q0ac,2026-03-17T23:17:22Z,"2026-03-17 23:17:22","الحلقة 27 : حرق المحكمة و اوراق مهمة …. جريمة خطيرة و الفاعل دار جهدو باش ميحصلش… رمضان 2026",,,22,"People & Blogs",,PT40M52S,2452,2d,hd,false,ar,ar,https://i.ytimg.com/vi/tc1g7q3Q0ac/maxresdefault.jpg,1,,,,,354470,9559,,0,561
