position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",z3Y6ept30aw,2026-04-21T20:44:31Z,"2026-04-21 20:44:31","إسبانيا غادي تصيب الوراق لكولشي !","TapTap Send Link : https://bit.ly/taptapapp Code Promo (+10€) : FAROUK - بالنسبة للناس لي تحتاج مساعدة باش تدفع : Anas - ImmiWorld administracion@immiworld.es +34657933788 / +34661695862 Redouane - Red1 Abogados tarracoconsulting@gmail.com +34698261565 / +34640227172 الله يسهل على الجميع - في هذا الفيديو تجيدون كل التفاصيل حول التسوية الشاملة لوضعية المهاجرين في إسبانيا. #España #RegularizacionMasiva #PapelesEspaña #الهجرة_إلى_إسبانيا #اسبانيا #NoticiasEspaña - For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,Regularización masiva España,Papeles en España,Ley de extranjería España,وراق اسبانيا,قانون الهجرة في اسبانيا,تسوية الوضعية في اسبانيا,Noticias inmigración España,Residencia en España,الحراكة في اسبانيا,الوثائق في اسبانيا,Regularización extraordinaria,Permiso de trabajo España,الجديد في اسبانيا,قضايا المهاجرين,Vivir en España",25,"News & Politics","Politics,Society",PT14M46S,886,2d,hd,false,ar,ar,https://i.ytimg.com/vi/z3Y6ept30aw/maxresdefault.jpg,1,,,,,150300,7881,,0,283
2,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",orofoBQTkiA,2026-04-13T18:23:29Z,"2026-04-13 18:23:29","لامين يمال متأكد من الريمونتادا !","TapTap Send Link : https://bit.ly/taptapapp Code Promo (+10€) : FAROUK For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,lamine yamal,barca,barcalona,remontada barca,messi,atletico madrid,ufcl,champions league,barca vs atletico",17,Sports,"Association_football,Basketball",PT8M10S,490,2d,hd,false,ar,ar,https://i.ytimg.com/vi/orofoBQTkiA/maxresdefault.jpg,1,,,,,244106,10255,,0,591
3,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",DjO7f9f29F4,2026-04-10T16:24:12Z,"2026-04-10 16:24:12","ميريكان باغا تمحي إيران من الوجود !؟","TapTap Send Link : https://bit.ly/taptapapp Code Promo (+10€) : FAROUK في هذا الفيديو، نحلل التطورات الأخيرة والأحداث الأخيرة التي تجري بين أمريكا وإيران. هل نحن حقاً على حافة صراع جديد سيغير خريطة الشرق الأوسط؟ وما هي الكواليس التي لا يتحدث عنها الإعلام؟ 👇 لا تنسى الاشتراك في القناة وتفعيل الجرس لتصلك أحدث الأخبار. شاركنا رأيك في التعليقات، هل تتوقع تصعيداً عسكرياً؟ #ايران #امريكا #اخبار #الشرق_الاوسط #ترند #سياسة #حرب For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,إيران,أمريكا,إسرائيل,أخبار,حرب,ترامب,نتنياهو,الشرق الأوسط,حرب عالمية ثالثة,أخبار عاجلة,سياسة,صراع,تحليل سياسي,أخبار العالم,الولايات المتحدة,Farouk iran usa,Farouk life ysa iran",25,"News & Politics","Politics,Society",PT8M6S,486,2d,hd,false,ar,ar,https://i.ytimg.com/vi/DjO7f9f29F4/maxresdefault.jpg,1,,,,,241465,12471,,0,740
4,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",nPBYSYM2_os,2026-04-05T22:50:09Z,"2026-04-05 22:50:09","الرحلة الفضائية التي ستغير العالم ! ARTEMIS2","For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,nasa,usa,farouk life nasa,space x,elon musk,ARTEMIS",28,"Science & Technology",,PT9M36S,576,2d,hd,false,ar,ar,https://i.ytimg.com/vi/nPBYSYM2_os/maxresdefault.jpg,1,,,,,335482,15301,,0,1197
5,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",Osl0Exfq2LA,2026-04-04T21:49:34Z,"2026-04-04 21:49:34","حكيمي فخور بالفوز بكأس أفريقيا ! و مبابي يرفض الجزائر ؟","For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,the bridge,HAKIMI,MBAPPE,THE BRIDGE,Hakimi mbappe,Mbappe hakimi",24,Entertainment,"Association_football,Sport",PT8M,480,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Osl0Exfq2LA/maxresdefault.jpg,1,,,,,369934,15273,,0,697
6,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",6ErGm2lKthc,2026-04-02T23:01:37Z,"2026-04-02 23:01:37","Review SPLIT ALBUM Inkonnu | رسائل مخفية","For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,album,album split,inkonnu,inkonnu spliit,farouk life split,farouk life inko,inko,rap maghribi,راب,اخبار الراب",24,Entertainment,"Hip_hop_music,Music",PT17M8S,1028,2d,hd,false,ar,ar,https://i.ytimg.com/vi/6ErGm2lKthc/maxresdefault.jpg,1,,,,,137323,15067,,0,707
7,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",aguMVIXkxsU,2026-04-01T21:59:11Z,"2026-04-01 21:59:11","حقيقة شنو وقع لامين يمال مع إسبانيا !؟","For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,لامين,لامين يمال مسلم,مسلم,يمال,Lamine,Yamal,Lamine yamal,Islam,Lamine muslim,Spain mulsim",17,Sports,Association_football,PT8M3S,483,2d,hd,false,ar,ar,https://i.ytimg.com/vi/aguMVIXkxsU/maxresdefault.jpg,1,,,,,499581,21606,,0,1163
8,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",NJles4Iywzk,2026-03-31T23:03:42Z,"2026-03-31 23:03:42","علاش تعصب بونو ؟ ربحنا الباراجواي ولكن.. !","For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","Farouk,Farouklife,farouk life,maroc vs paraguay,equipe de maroc,morocco,match maroc,farouk life maroc,farouk life morocco,wwahbi,hakimi,diaz,brahim diaz,Paraguay",17,Sports,Association_football,PT8M53S,533,2d,hd,false,ar,ar,https://i.ytimg.com/vi/NJles4Iywzk/maxresdefault.jpg,1,,,,,371083,18638,,0,1410
9,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",Rvy8WTtebqE,2026-03-30T19:11:31Z,"2026-03-30 19:11:31","تقييم جميع أقمصة المونديال !","لي بغا يدير تصنيف ديالو الرابط : https://tiermaker.com/create/worldcup-jerseys-19314692 علاش بعض الأقمصة المونديالية كتدخل التاريخ وكتبقى محفورة في ذاكرة المشجعين، في حين أقمصة أخرى كتعتبر كارثة حقيقية في عالم التصميم؟ واش الشركات الرياضية الكبرى فقدات الإبداع ديالها في هاد النسخة من كأس العالم؟ في هاد الفيديو غادي نديرو تشريح كامل لجميع أقمصة المنتخبات. غادي نكتشفو الأسرار وراء اختيار الألوان، والتفاصيل الدقيقة لي كتميز كل تصميم، انطلاقا من قميص المنتخب الوطني المغربي وصولا إلى باقي المنتخبات العالمية. تقييم صريح، ومبني على معايير دقيقة كيتسناكم في هاد الحلقة. خليو ليا الرأي ديالكم في التعليقات: شكون هو المنتخب لي غايلبس أسوأ قميص في هاد المونديال؟ واش كتوافقوني الرأي في الترتيب النهائي لي حطيت؟ #كأس_العالم #المنتخب_المغربي #كرة_القدم #worldcup For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","farouk life,jersey,فاروق لايف,Farouk Life,أقمصة المونديال,قميص المنتخب المغربي,تقييم أقمصة كأس العالم,كاس العالم,World Cup kits,كرة القدم,المنتخب المغربي,Football jerseys,أحسن قميص في المونديال,تصاميم أقمصة المنتخبات,المغرب,Worldcup tierlist,Tenue",17,Sports,Association_football,PT12M23S,743,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Rvy8WTtebqE/maxresdefault.jpg,1,,,,,225737,9352,,0,496
10,UCv6T1ljYi3CETJ1Jqj1bFMQ,"Farouk Life",Ck8jBxjOzHU,2026-03-29T19:45:15Z,"2026-03-29 19:45:15","ألبوم أنكوني الجديد و إعتقال Babygang !","ما هو السر وراء اعتقال بايبي غانغ المفاجئ؟ وهل هناك رسائل خفية في ألبوم أنكوني لم ينتبه لها أحد؟ 🔥 شاهد الفيديو للنهاية لتكتشف التفاصيل الصادمة التي يتحدث عنها كل عشاق الراب. شاركنا رأيك في التعليقات: هل تعتقد أن بيبي غانغ تعرض للظلم في هذه القضية؟ وما هو أفضل ""تراك"" في ألبوم أنكوني الجديد ؟ 🔔 لا تنسى الإعجاب بالفيديو، الاشتراك في قناة، وتفعيل جرس التنبيهات لتبقى على اطلاع دائم بأقوى أخبار الراب، الإصدارات الجديدة، وحصريات الفنانين ! #rapnews #babygang #inkonnu #راب #أخبار For business Email : farouklifecontact@gmail.com Instagram @farouklife Link Instagram : https://www.instagram.com/farouklife/","rap news,draganov,inko,inkonnu album,split,manal,manal warda,warda,farouk life rap news,Rapnews,راب نيوز,Babygang,بيبي غانغ,اعتقال بيبي غانغ,قضية بيبي غانغ,أنكوني,ألبوم أنكوني الجديد,ألبوم أنكوني,أخبار الراب,راب عربي,راب,هيب هوب,جديد الراب,Inkonnu farouk,Inkonnu,Farpuk life",24,Entertainment,"Hip_hop_music,Music",PT9M4S,544,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Ck8jBxjOzHU/maxresdefault.jpg,1,,,,,166112,9936,,0,452
