position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",7RKHAqEr68M,2026-04-20T13:05:12Z,"2026-04-20 13:05:12","ردة فعل على أحداث مباراة أولمبيك أسفي و اتحاد العاصمة الجزائري","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Association_football,PT16M23S,983,2d,hd,false,ar,ar,https://i.ytimg.com/vi/7RKHAqEr68M/maxresdefault.jpg,1,,,,,108017,4288,,0,762
2,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",nhtknr-jLp4,2026-04-19T13:10:25Z,"2026-04-19 13:10:25","فريزة البيضاء و الحمراء 🍓 !! الجديد يا جدك 🇩🇿 ... زط مط فط","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT46M9S,2769,2d,hd,false,ar,ar,https://i.ytimg.com/vi/nhtknr-jLp4/maxresdefault.jpg,1,,,,,169743,4549,,0,265
3,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",Zx2rMvQ3LYs,2026-04-13T20:32:39Z,"2026-04-13 20:32:39","عمليات وسط مدينة البليدة بالجزائر و تعتيم جزائري بسبب زيارة البابا","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Society,PT23M38S,1418,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Zx2rMvQ3LYs/maxresdefault.jpg,1,,,,,151396,5019,,0,1001
4,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",l5Sfd3AqV8g,2026-04-12T20:36:35Z,"2026-04-12 20:36:35","ردة فعل على مسلسل فريزيتو فريزيتا !! الدراما عند ديسير غيييير","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,"Entertainment,Film",PT39M41S,2381,2d,hd,false,ar,ar,https://i.ytimg.com/vi/l5Sfd3AqV8g/maxresdefault.jpg,1,,,,,296658,8110,,0,1160
5,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",TGLTPCUR33U,2026-04-10T17:52:06Z,"2026-04-10 17:52:06","ردة فعل على الروينة لي نايضة فبرنامج لالة لعروسة 2026 !! سم لعيالات ولا فالرجال","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT18M10S,1090,2d,hd,false,ar,ar,https://i.ytimg.com/vi/TGLTPCUR33U/maxresdefault.jpg,1,,,,,331443,8919,,0,722
6,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",-JWgYorVcAI,2026-04-07T13:11:38Z,"2026-04-07 13:11:38","طريقة الوحيدة باش لامين يامال يجي المغرب ! سكان العاصمة كيشربو ماء مسحور ؟ سعدات لي حماق","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT38M12S,2292,2d,hd,false,ar,ar,https://i.ytimg.com/vi/-JWgYorVcAI/maxresdefault.jpg,1,,,,,268776,7733,,0,686
7,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",ldzQzjhaX7U,2026-04-05T19:02:59Z,"2026-04-05 19:02:59","طفل باع محفظتو مقابل سندويتش ؟ طارق السكتيوي حصل حصلة خايبة ؟ و الجيران هازين الهم للطاس أكثر منا ؟","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT58M1S,3481,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ldzQzjhaX7U/maxresdefault.jpg,1,,,,,175141,6574,,0,512
8,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",ktT0ReJR1BE,2026-03-30T20:48:01Z,"2026-03-30 20:48:01","لاعبين ديال المنتخب ماشي فهاد العالم ؟ الساعة الاضافية ؟ مصر و الجزائر أش دخلكم ؟ علاش كتبكيو ؟","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT41M30S,2490,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ktT0ReJR1BE/maxresdefault.jpg,1,,,,,184880,7830,,0,947
9,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",k2GClpmTx-M,2026-03-26T10:47:40Z,"2026-03-26 10:47:40","شنو استفدنا من الساعة الاضافية ؟ حملة إلغاء الساعة الإضافية في المغرب","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,"Politics,Society",PT28M25S,1705,2d,hd,false,ar,ar,https://i.ytimg.com/vi/k2GClpmTx-M/maxresdefault.jpg,1,,,,,127939,6999,,0,1192
10,UCzmp6kKMrSbK-hHc59wLylw,"Jamal Alpha - 2",-jbY39oSkp4,2026-03-18T19:48:58Z,"2026-03-18 19:48:58","ردة فعل ( الأشقاء ) بعد تتويج المغرب بكأس افريقيا! الله يعظم الأجر","القناة الرسمية : https://www.youtube.com/@JamalAlpha أهلا بكم و شكرا على ثقتكم لمتابعة يومياتي على انستغرام : http://bit.ly/2ncwNUr Facebook page: https://www.facebook.com/JamalAlphaOfficial Email only for Business : Jamalalphaazmi@gmail.com - اللهم صل وسلم وبارك على نبينا وحبيبنا محمد. - أستغفر الله العظيم و أتوب اليه","Jamal alpha,جمال ألفا,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Association_football,PT38M41S,2321,2d,hd,false,ar,ar,https://i.ytimg.com/vi/-jbY39oSkp4/maxresdefault.jpg,1,,,,,362317,11906,,0,1274
