position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",Ex-ZpdtBS5U,2026-04-17T18:15:06Z,"2026-04-17 18:15:06","HADSHI LI KAYN #2 with MILFAYA","SUBSCRIBE and become part of the family Kanbghikoum Love, #Kawtarbamo Instagram : Kawtarbamo 📩 Kawtarbmme@gmail.com","#Kawtarbamo #kawtarbamohamed",22,"People & Blogs",Entertainment,PT1H35M36S,2136,2d,hd,false,en,en,https://i.ytimg.com/vi/Ex-ZpdtBS5U/maxresdefault.jpg,1,,,,,401602,12148,,0,720
2,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",E4HaYfvdbDM,2026-04-16T14:24:19Z,"2026-04-16 14:24:19","16 avril 2026",,,22,"People & Blogs",Entertainment,PT53S,53,2d,hd,false,fr,en,https://i.ytimg.com/vi/E4HaYfvdbDM/maxresdefault.jpg,1,,,,,18104,619,,0,20
3,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",mrD4KCaGYeQ,2026-03-02T22:10:30Z,"2026-03-02 22:10:30","أكبر شباكية فالعالم مع جدتي🫠❤️ #kawtarbamo",,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT1M33S,93,2d,hd,false,ar,en,https://i.ytimg.com/vi/mrD4KCaGYeQ/maxresdefault.jpg,1,,,,,141063,4033,,0,94
4,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",H6SJmfy9lDg,2026-02-21T21:38:32Z,"2026-02-21 21:38:32","⁨ حوار العمر مع بابا..الحلقة كاملة على اليوتوب❤️‍🩹⁩",,,22,"People & Blogs",Entertainment,PT1M,60,2d,hd,false,ar,en,https://i.ytimg.com/vi/H6SJmfy9lDg/maxresdefault.jpg,1,,,,,515666,10384,,0,296
5,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",mHkUr4Lvu3A,2026-02-21T20:00:07Z,"2026-02-21 20:00:07","HADSHI LI KAYN #1 🎙️حوار العمر مع بابا","فهاد الحلقة الخاصة، قررت نجلس مع أغلى إنسان عندي، بابا❤️. ولكن هاد المرة ماشي باش نصورو فيديو ديال الضحك، و لكن باش نسمع قصتو الحقيقية.. كنتمنى تستمتعوا بهاد الحوار العفوي، وما تنساوش تقولوا لوالديكم شحال كتبغيوهم اليوم قبل غدا. SUBSCRIBE and become part of the family Kanbghikoum Love, #Kawtarbamo Instagram : Kawtarbamo 📩 Kawtarbmme@gmail.com","#Kawtarbamo #kawtarbamohamed",22,"People & Blogs",,PT1H19M30S,1170,2d,hd,false,ar,en,https://i.ytimg.com/vi/mHkUr4Lvu3A/maxresdefault.jpg,1,,,,,367006,12581,,0,744
6,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",JkkYoWd2izs,2026-02-20T13:27:40Z,"2026-02-20 13:27:40","حوار العمر مع بابا 🎙️🤍",,,22,"People & Blogs",,PT38S,38,2d,hd,false,ar,en,https://i.ytimg.com/vi/JkkYoWd2izs/maxresdefault.jpg,1,,,,,123857,2668,,0,35
7,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",3JKTRMpgyZc,2026-01-14T16:20:21Z,"2026-01-14 16:20:21","2020 VS 2026",,,22,"People & Blogs",Lifestyle_(sociology),PT50S,50,2d,hd,false,fr,en,https://i.ytimg.com/vi/3JKTRMpgyZc/maxresdefault.jpg,1,,,,,107277,3003,,0,45
8,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",lscCgyJEAqM,2025-12-31T20:41:34Z,"2025-12-31 20:41:34","I said YES #kawtarbamo",,,22,"People & Blogs",Entertainment,PT1M,60,2d,hd,false,fr,en,https://i.ytimg.com/vi/lscCgyJEAqM/maxresdefault.jpg,1,,,,,388610,10292,,0,220
9,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",Ae5TaPFNgdg,2025-12-05T18:00:07Z,"2025-12-05 18:00:07","NOS ANECDOTES #22 (ft Bouchra Ddeau & Samid Ghailan) شي بلان ما وقع","SUBSCRIBE and become part of the family. Kanbghikoum Love, #Kawtarbamo with #ayoubidri @Ayoubidri Ayoub's Instagram : https://www.instagram.com/ayoubidri/?hl=fr Instagram : Kawtarbamo 📩 Kawtarbmme@gmail.com","#Kawtarbamo #kawtarbamohamed",22,"People & Blogs",Entertainment,PT1H35M12S,2112,2d,hd,false,en,en,https://i.ytimg.com/vi/Ae5TaPFNgdg/maxresdefault.jpg,1,,,,,1016589,25374,,0,2017
10,UCH2ZMZN8X7WHDLnWEfP1jBg,"Kawtar Bamo",01YLESfslKQ,2025-11-14T18:00:08Z,"2025-11-14 18:00:08","NOS ANECDOTES #21 (ft Lmoutchou & Dada) شي بلان ما وقع","SUBSCRIBE and become part of the family. Kanbghikoum Love, #Kawtarbamo with #ayoubidri @Ayoubidri Ayoub's Instagram : https://www.instagram.com/ayoubidri/?hl=fr Instagram : Kawtarbamo 📩 Kawtarbmme@gmail.com","#Kawtarbamo #kawtarbamohamed",22,"People & Blogs",Entertainment,PT1H47M20S,2840,2d,hd,false,en,en,https://i.ytimg.com/vi/01YLESfslKQ/maxresdefault.jpg,1,,,,,917453,26581,,0,2456
