position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",wjv7YlkszmY,2026-03-14T17:09:49Z,"2026-03-14 17:09:49","وجدنا فطور رمضاني مع الواليد وكيف العادة بقينا بلا فطور 😅",,,29,"Nonprofits & Activism","Food,Lifestyle_(sociology)",PT22M33S,1353,2d,hd,false,ar,en,https://i.ytimg.com/vi/wjv7YlkszmY/maxresdefault.jpg,1,,,,,257996,9987,,0,259
2,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",F7C1djlovsg,2026-03-07T23:54:07Z,"2026-03-07 23:54:07","سولتونا جاوبناكوم.. شحال تكاليف البرطمة ؟",,,29,"Nonprofits & Activism",,PT22M29S,1349,2d,hd,false,ar,en,https://i.ytimg.com/vi/F7C1djlovsg/maxresdefault.jpg,1,,,,,170788,8081,,0,300
3,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",6hGq2Vr_qfE,2026-02-27T21:54:23Z,"2026-02-27 21:54:23","توديع الواليدة قبل العمرة… انا والوليد غندوزو رمضان بلا بيها!🥲",,,29,"Nonprofits & Activism",,PT23M1S,1381,2d,hd,false,ar,en,https://i.ytimg.com/vi/6hGq2Vr_qfE/maxresdefault.jpg,1,,,,,170942,7574,,0,213
4,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",wOXAjZ6J4pU,2026-02-23T17:54:45Z,"2026-02-23 17:54:45","علاش رجعنا قبل ما نوصلو لـ جبل توبقال؟ التحدي سالا قبل ما يبدا 😪","📩 Pour toute collaboration (Les collabs) Gmail : khalidlidlissistory@gmail.com ———————- عبد الكريم كراء لوازم التخييم ⛺️ 📞 +212 659-051064 ———————- 📲 Instagram : @khalidlidlissi @mouad_aboukassim @hafiid_ch @im3alam_dipani",,29,"Nonprofits & Activism","Hobby,Lifestyle_(sociology)",PT32M9S,1929,2d,hd,false,ar,en,https://i.ytimg.com/vi/wOXAjZ6J4pU/maxresdefault.jpg,1,,,,,163888,7081,,0,207
5,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",qI0ibiDr3y8,2026-02-19T18:33:13Z,"2026-02-19 18:33:13","اغرب تقديا ديال شهر رمضان!.. مكنتش متوقع هادشي☹️😅","For Business khalidlidlissistory@gmail.com Instagram @khalidlidlissi BRAHIM @lm3alam_dipani",,29,"Nonprofits & Activism",Lifestyle_(sociology),PT30M49S,1849,2d,hd,false,ar,en,https://i.ytimg.com/vi/qI0ibiDr3y8/maxresdefault.jpg,1,,,,,202248,8817,,0,203
6,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",NWXQilkT_TM,2026-01-02T19:15:39Z,"2026-01-02 19:15:39","الواليد متوقعش هاد اللذة! مشجعة سنغالية طيبات لينا وجبة سنغالية 100% 🇸🇳","For Business khalidlidlissistory@gmail.com Instagram @khalidlidlissi BRAHIM @lm3alam_dipani",,29,"Nonprofits & Activism","Food,Lifestyle_(sociology)",PT24M24S,1464,2d,hd,false,ar,en,https://i.ytimg.com/vi/NWXQilkT_TM/maxresdefault.jpg,1,,,,,235233,8524,,0,432
7,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",wbUaOQXtOgY,2025-12-13T16:54:20Z,"2025-12-13 16:54:20","لمغاربة وقفوا مع ديباني… شراو ليه دار بعد قرار الهدم ❤️","For Business khalidlidlissistory@gmail.com Instagram @khalidlidlissi BRAHIM @lm3alam_dipani",,29,"Nonprofits & Activism",Lifestyle_(sociology),PT42M36S,2556,2d,hd,false,ar,en,https://i.ytimg.com/vi/wbUaOQXtOgY/maxresdefault.jpg,1,,,,,380329,18777,,0,739
8,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",b_UiR0OqHrg,2025-11-16T12:27:13Z,"2025-11-16 12:27:13","الاحتفال بالدار الجديدة تحوّل لأغرب عراضة بسبب الواليد والدراري! 😂🏠","For Business khalidlidlissistory@gmail.com Instagram @khalidlidlissi BRAHIM @lm3alam_dipani",,29,"Nonprofits & Activism",Lifestyle_(sociology),PT40M25S,2425,2d,hd,false,ar,en,https://i.ytimg.com/vi/b_UiR0OqHrg/maxresdefault.jpg,1,,,,,476256,19898,,0,653
9,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",nE6lR1M6BV0,2025-11-02T16:09:44Z,"2025-11-02 16:09:44","قرار الهدم صدم ديباني 😢… لكن المفاجأة المغاربة جمعو ليه 24 مليون الحمد لله ! 🇲🇦❤️","معلومات الحساب البنكي 💳 RIB: 230 020 2677235211018201 78 -------------------------------- For Business khalidlidlissistory@gmail.com Instagram @khalidlidlissi BRAHIM @lm3alam_dipani",,29,"Nonprofits & Activism",,PT28M4S,1684,2d,hd,false,ar,en,https://i.ytimg.com/vi/nE6lR1M6BV0/maxresdefault.jpg,1,,,,,369320,20945,,0,1217
10,UCeuMT3QEwuCdRE8Tg58RCqg,"Khalid Lidlissi & Dala",jX73qLO4K1E,2025-10-24T20:27:18Z,"2025-10-24 20:27:18","الواليد نتاقم مني 😢 دار ليا برانك عمرني نساه 🤷🏻‍♂️","For Business khalidlidlissistory@gmail.com Instagram @khalidlidlissi BRAHIM @lm3alam_dipani",,29,"Nonprofits & Activism",Lifestyle_(sociology),PT36M38S,2198,2d,hd,false,ar,en,https://i.ytimg.com/vi/jX73qLO4K1E/maxresdefault.jpg,1,,,,,539695,22999,,0,689
