position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",a2FO4IL0jBQ,2026-04-30T19:47:22Z,"2026-04-30 19:47:22","اخيرا..هشام رجع عند عائلة لعزاوي ‼️ولكن .. 😱 #ytshorts #shorts #اكسبلور",,,24,Entertainment,,PT24S,24,2d,hd,false,ar,ar,https://i.ytimg.com/vi/a2FO4IL0jBQ/maxresdefault.jpg,1,,,,,400216,20506,,0,333
2,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",7hr7jfH-E2o,2026-04-29T19:26:07Z,"2026-04-29 19:26:07","للاسف…الكلب المالينوا هجم على ابتسام ‼️حيت ضربات لعزاوي 😱(بكات بالخلعة 😭)",,,24,Entertainment,"Lifestyle_(sociology),Pet",PT21M20S,1280,2d,hd,false,ar,ar,https://i.ytimg.com/vi/7hr7jfH-E2o/maxresdefault.jpg,1,,,,,547571,14720,,0,676
3,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",xp3B0lnKMx4,2026-04-28T19:25:34Z,"2026-04-28 19:25:34","للاسف..لعزاوي وابتسام مخاصمين ‼️بسبب الكلب الجديد 🐶 #ytshorts #shorts #funny",,,24,Entertainment,Pet,PT20S,20,2d,hd,false,ar,ar,https://i.ytimg.com/vi/xp3B0lnKMx4/maxresdefault.jpg,1,,,,,966594,37321,,0,3505
4,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",fiwfadE3X68,2026-04-27T19:23:21Z,"2026-04-27 19:23:21","اشتريت ..كلب مفترس لولدي يونس🐶ولكن هجم عليه🚨(مفاجاة ولات كارثة😭)","👇 For Collab 👇 Infomrxtra@gmail.com 👇🔥insta la3zawi🔥👇 https://www.instagram.com/la3zawi_axtra 👇✔ insta btissam ✔👇 https://www.instagram.com/batissam_la3zawi ي هذا الفيديو من لعزاوي فاميلي 2024، قضينا يوم ملكي في البحر 🌊! لعزاوي فاميلي يعيش لحظات مليئة بالمقالب والتحديات المدهشة. يونس يلعب مع تشارلي، وجراني، في يوم كامل من المرح والتسلية! من التحديات إلى المقالب، كانت الأجواء مليئة بالإثارة والمفاجآت. من لعزاوي فاميلي 2024 الجديد، لا تفوتوا هذه المغامرة المدهشة مع العائلة في البحر، حيث قضينا وقتًا رائعًا في مكان مميز! تابعوا معنا لحظات لا تُنسى في هذا الروتين، الذي جعل يومنا ملكيًا! 💸🎉""",,24,Entertainment,"Lifestyle_(sociology),Pet",PT22M15S,1335,2d,hd,false,ar,ar,https://i.ytimg.com/vi/fiwfadE3X68/maxresdefault.jpg,1,,,,,839584,17711,,0,1279
5,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",jJMlGnuJHHc,2026-04-26T19:39:25Z,"2026-04-26 19:39:25","للاسف..يونس قرر يسوق سيارة باباه العزاوي 🚨 #shortvideo #ytshorts #shorts",,,24,Entertainment,,PT24S,24,2d,hd,false,ar,ar,https://i.ytimg.com/vi/jJMlGnuJHHc/maxresdefault.jpg,1,,,,,928463,38136,,0,268
6,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",LVWugDNJ3gw,2026-04-25T19:44:47Z,"2026-04-25 19:44:47","اخيرا..انتقمت من زوجتي ‼️وديت ليها فلوسها 🤑فتحدي الالعاب الالكترونية😱(و بكات فالاخير 😭) ","👇 For Collab 👇 Infomrxtra@gmail.com 👇🔥insta la3zawi🔥👇 https://www.instagram.com/la3zawi_axtra 👇✔ insta btissam ✔👇 https://www.instagram.com/batissam_la3zawi ي هذا الفيديو من لعزاوي فاميلي 2024، قضينا يوم ملكي في البحر 🌊! لعزاوي فاميلي يعيش لحظات مليئة بالمقالب والتحديات المدهشة. يونس يلعب مع تشارلي، وجراني، في يوم كامل من المرح والتسلية! من التحديات إلى المقالب، كانت الأجواء مليئة بالإثارة والمفاجآت. من لعزاوي فاميلي 2024 الجديد، لا تفوتوا هذه المغامرة المدهشة مع العائلة في البحر، حيث قضينا وقتًا رائعًا في مكان مميز! تابعوا معنا لحظات لا تُنسى في هذا الروتين، الذي جعل يومنا ملكيًا! 💸🎉""",,24,Entertainment,Lifestyle_(sociology),PT16M15S,975,2d,hd,false,ar,ar,https://i.ytimg.com/vi/LVWugDNJ3gw/maxresdefault.jpg,1,,,,,379969,5895,,0,467
7,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",hHGq_dZiJAE,2026-04-24T19:22:17Z,"2026-04-24 19:22:17","اخيرا..لعزاوي عمل مقلب مرعب ف ابتساام ‼️ #ytshorts #shorts #shortvideo",,,24,Entertainment,Entertainment,PT8S,8,2d,hd,false,ar,ar,https://i.ytimg.com/vi/hHGq_dZiJAE/maxresdefault.jpg,1,,,,,826662,6684,,0,87
8,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",IEURp2ZZbl4,2026-04-23T19:30:40Z,"2026-04-23 19:30:40","اخيرا..اشترينا ليونس دراجة احلاموا🔥اسطورية و ثمنها 2.000 دولار😈( مقلب ومفاجاة‼️)","👇 For Collab 👇 Infomrxtra@gmail.com 👇🔥insta la3zawi🔥👇 https://www.instagram.com/la3zawi_axtra 👇✔ insta btissam ✔👇 https://www.instagram.com/batissam_la3zawi ي هذا الفيديو من لعزاوي فاميلي 2024، قضينا يوم ملكي في البحر 🌊! لعزاوي فاميلي يعيش لحظات مليئة بالمقالب والتحديات المدهشة. يونس يلعب مع تشارلي، وجراني، في يوم كامل من المرح والتسلية! من التحديات إلى المقالب، كانت الأجواء مليئة بالإثارة والمفاجآت. من لعزاوي فاميلي 2024 الجديد، لا تفوتوا هذه المغامرة المدهشة مع العائلة في البحر، حيث قضينا وقتًا رائعًا في مكان مميز! تابعوا معنا لحظات لا تُنسى في هذا الروتين، الذي جعل يومنا ملكيًا! 💸🎉""",,24,Entertainment,Lifestyle_(sociology),PT19M51S,1191,2d,hd,false,ar,ar,https://i.ytimg.com/vi/IEURp2ZZbl4/maxresdefault.jpg,1,,,,,761055,14299,,0,640
9,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",cvaTSSpL50w,2026-04-22T19:10:16Z,"2026-04-22 19:10:16","اخيرا..ابتسام دارت مقلب فـ لعزاوي 😈 #مضحك #shorts #ytshorts #viral",,,24,Entertainment,"Entertainment,Film",PT13S,13,2d,hd,false,ar,ar,https://i.ytimg.com/vi/cvaTSSpL50w/maxresdefault.jpg,1,,,,,976556,7023,,0,105
10,UC-5_KlNZB24vRngk6fxxKSQ,"la3zawi family Two",i88zAk_KEcM,2026-04-21T19:17:16Z,"2026-04-21 19:17:16","للاسف...اشتريت 13 بطة جديدة 🦆 لكن هربوا من البركة🐥مفاجاة تحولت لكارثة 😭","👇 For Collab 👇 Infomrxtra@gmail.com 👇🔥insta la3zawi🔥👇 https://www.instagram.com/la3zawi_axtra 👇✔ insta btissam ✔👇 https://www.instagram.com/btissam_la3zawi ي هذا الفيديو من لعزاوي فاميلي 2024، قضينا يوم ملكي في البحر 🌊! لعزاوي فاميلي يعيش لحظات مليئة بالمقالب والتحديات المدهشة. يونس يلعب مع تشارلي، وجراني، في يوم كامل من المرح والتسلية! من التحديات إلى المقالب، كانت الأجواء مليئة بالإثارة والمفاجآت. من لعزاوي فاميلي 2024 الجديد، لا تفوتوا هذه المغامرة المدهشة مع العائلة في البحر، حيث قضينا وقتًا رائعًا في مكان مميز! تابعوا معنا لحظات لا تُنسى في هذا الروتين، الذي جعل يومنا ملكيًا! 💸🎉""",,24,Entertainment,Lifestyle_(sociology),PT24M3S,1443,2d,hd,false,ar,ar,https://i.ytimg.com/vi/i88zAk_KEcM/maxresdefault.jpg,1,,,,,598525,7945,,0,530
