position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,a4htOf_dEZk,2026-02-17T20:13:22Z,"2026-02-17 20:13:22","يوميات بنت مقاتلة معا الوقت : Vlog 1","yallah 3ala barakati allah a new era !","milfaya,milfaya vlog,bureau,day in my life,milfaya's vlog,milfaya music",24,Entertainment,Lifestyle_(sociology),PT19M25S,1165,2d,hd,false,ar,ar,https://i.ytimg.com/vi/a4htOf_dEZk/maxresdefault.jpg,1,,,,,171063,5377,,0,169
2,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,4yBbNB2hgdI,2025-04-17T18:03:04Z,"2025-04-17 18:03:04","Storytime : Centre d'appel خدمت في","Salaaaam akhir merra postulit kanet f 2019, and i know it changed mn dik sa3at l daba its not as easy to find jobs walakin 3alam l 2a7lam o wa dou3a2 fiiih jobs ktar o sahlinn tel9ahoum so go there first then go to these links (fin kent kan9elleb ana f 2019 hhh) : . MonCallCenter.ma : https://www.moncallcenter.ma/offres-emploi/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac_Ze9UOLy4QfOlpU-0z-V3IjgmiXdNVtoSok6REyFWtNl9IBbpcI7QaAl4LEALw_wcB . Rekrute : https://www.rekrute.com/offres-emploi-centre-dappel-12.html . allah isehel 3la l jami3 ! . . . sinonnnnn !!! GO LISTEN TO MY SONGS :  @milfayamusic  FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . AND MY TIKTOK: https://vm.tiktok.com/ZSGkXbjs/ . . . . bisou bye bye kiss noise bogossat o bagssiya xoxo","milfaya,milfaya music,milfaya song,ملفاي,ملفايا,europa,أوروبا,aljin,قصص رعب,قصص مرعبه,لبمو,وحوش,غريبه,مخلوقات,مرعبه,kharraz,safaa,emo,storytime,story time,scary,khel3a,after midnight,lemo,jnoun,jin,centre d'appel,call centre,khedma,work,Storytime : Centre d'appel خدمت في",24,Entertainment,Lifestyle_(sociology),PT44M51S,2691,2d,hd,false,en,ar,https://i.ytimg.com/vi/4yBbNB2hgdI/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,1054171,38404,,0,1083
3,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,ZJya1MiXtAY,2025-03-25T20:01:06Z,"2025-03-25 20:01:06","FTOUR MN قارة EP 2 : أوروبا","nevermind the other episodes dial l'afrique o lmarikan hihihi changement de plan lol maybe next Ramadan . . . . . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . AND MY TIKTOK: https://vm.tiktok.com/ZSGkXbjs/ . ALSO CHECK OUT MY SONGS : @milfayamusic . . . . bisou bye bye kiss noise bogossat o bagssiya xoxo","milfaya,milfaya ftour,milfaya ramadan,ramadan,ftour,asia,matcha,briwat,msemen,hrira,chebbakia,batbout,asie,أسيا,ddar,milfaya music,milfaya song,tom yum,hotteok,zoolbia,parathas,gyoza,ملفاي,ملفايا,فطور,رمضان,europe,milfaya ftour europe,europa,أوروبا",24,Entertainment,"Food,Lifestyle_(sociology)",PT26M34S,1594,2d,hd,false,en,ar,https://i.ytimg.com/vi/ZJya1MiXtAY/maxresdefault.jpg,1,,,,,311888,11056,,0,247
4,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,EKXVOoCLng0,2025-03-09T16:14:15Z,"2025-03-09 16:14:15","FTOUR MN قارة EP 1 : أسيا","Wahed Salamo 3alaykoum ! haydo haydoooo Ferdaous 9atla le3dou ! hhhhh im back a cherfa bla hedra khawya daba seriouslyyy !!! Ramadan kareem , d3iw m3aya iwelli 3lendi jehd nberre3k ahbi ( I sound like your ex 3amera wo3oud khawya hhh) . . . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . AND MY TIKTOK: https://vm.tiktok.com/ZSGkXbjs/ . ALSO CHECK OUT MY SONGS : https://www.youtube.com/@milfayamusic . . . . bisou bye bye kiss noise bogossat o bagssiya xoxo","milfaya,milfaya ftour,milfaya ramadan,ramadan,ftour,asia,matcha,briwat,msemen,hrira,chebbakia,batbout,asie,أسيا,ddar,milfaya music,milfaya song,tom yum,hotteok,zoolbia,parathas,gyoza,ملفاي,ملفايا,فطور,رمضان",24,Entertainment,"Food,Lifestyle_(sociology)",PT31M58S,1918,2d,hd,false,en,ar,https://i.ytimg.com/vi/EKXVOoCLng0/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,394475,14781,,0,481
5,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,gOf6YW0mMEU,2024-04-26T18:19:59Z,"2024-04-26 18:19:59","Milfaya Trying fruits 🥝🥥🍌🍎🍒🍑 تقييم الفواكه","hadchi tsower f chher 1 hhhhh daba chher 4 almost 5 ach had l watira ! . . . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . AND MY TIKTOK: https://vm.tiktok.com/ZSGkXbjs/ . . . . bisou bye bye *kiss noise* bogossat o bagssiya xoxo","milfaya,milfaya trying,ferdaous,jou3,jou3 lil,recette,midnight,snack,makla,midnight snack,la fac,bored,vlog,food,at,videos i watch at 2 am,تقييم,fruits,les fruits,milfaya fruits,dessert,lfakya,trying fruits,fruits exotiques,exotic fruits,papaya,yellow kiwi,kiwi,coconut,coco",24,Entertainment,"Food,Lifestyle_(sociology)",PT34M41S,2081,2d,hd,false,en,ar,https://i.ytimg.com/vi/gOf6YW0mMEU/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,464073,15673,,0,641
6,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,NlmYqnsCrKw,2024-04-02T17:39:57Z,"2024-04-02 17:39:57","ki ghadyin m3a Ramadan? ana n3assi khsser","ana o lvlogat ze3ma 9erbala ! . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . FOR MY TIKTOK: CLICK ON THE LINK : https://vm.tiktok.com/ZSGkXbjs/ . . bisou bye bye kiss noise bogossat o bagssiya xoxo.","milfaya,ferdaous,i moved out,milfaya moving out,living alone,living alone diaries,zoufriya,tazoufrit,milfaya zoufri,zoufri diairies,milfaya zoufri diaries,milfaya music,milfaya tzowjat,7ayat zawjia,t7owelt 3awtani,ramadan,ramadan kareem,first week of ramadan,Ramadan vlog,iftar,sahuur",24,Entertainment,"Food,Lifestyle_(sociology)",PT22M11S,1331,2d,hd,false,en,ar,https://i.ytimg.com/vi/NlmYqnsCrKw/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,274944,9873,,0,366
7,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,u-vzEX8WA3k,2024-03-13T17:07:31Z,"2024-03-13 17:07:31","MOVING out/in VLOG, t7owelt 8 dial lmerrat! 🏠 تحولت 8 ديال المرات","Had l video wa3er 7eme9ni saraha o khdemt 3lih mn niytii hitach bghit n docummenti l 7ayat dial bessa7 , o sem7o lia 3la had lghbourat ! . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . FOR MY TIKTOK: Or CLICK ON THE LINK : https://vm.tiktok.com/ZSGkXbjs/ . . bisou bye bye kiss noise bogossat o bagssiya xoxo.","milfaya,ferdaous,i moved out,milfaya moving out,living alone,living alone diaries,zoufriya,tazoufrit,milfaya zoufri,zoufri diairies,milfaya zoufri diaries,milfaya music,milfaya tzowjat,7ayat zawjia,t7owelt 3awtani,ramadan,ramadan kareem,first week of ramadan",24,Entertainment,Lifestyle_(sociology),PT24M17S,1457,2d,hd,false,en,ar,https://i.ytimg.com/vi/u-vzEX8WA3k/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,600832,23455,,0,729
8,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,YSG2eM5-xlQ,2023-09-27T18:00:20Z,"2023-09-27 18:00:20","SOUTH KOREA VLOG l Ta chkoun 7ena chkoun? 🇰🇷🥢🛩 مشيت لكوريا و أول مرة نركب فطيارة","awalan chokran l Samsung Morocco hitach 3tawni l forssa n3ich had l experience taniyan awili mchit l Korea as a first trip talitan Leila Hadioui mn a7ssan nass li I met rabi3an sorry this vlog t3ettel, it was teqriban 7h footage o rej3at 31min dont ask how . . . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . FOR MY TIKTOK: Or CLICK ON THE LINK : https://vm.tiktok.com/ZSGkXbjs/ . . . Wessam's Channel : CLICK HERE : https://www.youtube.com/@WessamQutob . bisou bye bye kiss noise bogossat o bagssiya xoxo . #jointheflipside #samsungumpacked #galaxyZflip5 #galaxyZfold5 #teamgalaxy","milfaya,snack,videos i watch at 2 am,vlog,food,vlogs,تحدي,milfaya f korea,korea,stray kids,suga,south korea,كوريا,vlog korea,first time on a plane",24,Entertainment,"Lifestyle_(sociology),Tourism",PT31M1S,1861,2d,hd,false,en,ar,https://i.ytimg.com/vi/YSG2eM5-xlQ/maxresdefault.jpg,1,,,,,644796,19136,,0,537
9,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,-r3gMvbwYJQ,2023-06-29T15:54:15Z,"2023-06-29 15:54:15","VLOG : milfaya mn dar l dar 3awtani (appartement hunting)","lherba ch7al ghali lkra f casa aaaawili jehlo jehlo. . . . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . FOR MY TIKTOK: Or CLICK ON THE LINK : https://vm.tiktok.com/ZSGkXbjs/ . . . bisou bye bye *kiss noise* bogossat o bagssiya xoxo","milfaya,videos i watch at 2 am,vlog,driving with milfaya,milfaya zoufri,ferdaous,i moved out,milfaya moving out,living alone,living alone diaries,zoufriya,tazoufrit,zoufri diairies,milfaya zoufri diaries,milfaya music,men dar ldar,dar,darr,vlogs",24,Entertainment,Lifestyle_(sociology),PT12M30S,750,2d,hd,false,en,ar,https://i.ytimg.com/vi/-r3gMvbwYJQ/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,350212,12765,,0,273
10,UCOPw31DcKwy6HjHb1PaHCNw,milfaya,b-2tR721Qjg,2023-06-20T19:03:53Z,"2023-06-20 19:03:53","Milfaya Trying different water lol 🫗💦💧🚰 تقييم الماء","weird video ngl hhhhhh wlkn i liked the idea and had sooo mucz fun and pee filming it hhhh tell me what do you want me to try next . . . FOLLOW ME ON INSTAGRAM : https://www.instagram.com/milfaya__/ . FOR MY TIKTOK: Or CLICK ON THE LINK : https://vm.tiktok.com/ZSGkXbjs/ . . . bisou bye bye *kiss noise* bogossat o bagssiya xoxo","milfaya,milfaya burgers,milfaya trying,snack,la fac,bored,videos i watch at 2 am,vlog,driving with milfaya,food,تقييم,water,milfaya water,sidi ali,sidi harazem,aquafina,ain sais,ain sultan,bahia,ciel,ghayt,evien,mmiha,milfaya o lma,storytime,challenge,water taste,taste test,water test,vlogs,تحدي,aya,ayatee,تجربه,clean",24,Entertainment,Lifestyle_(sociology),PT25M41S,1541,2d,hd,false,en,ar,https://i.ytimg.com/vi/b-2tR721Qjg/maxresdefault.jpg,1,,Casablanca,33.5731104,-7.5898434,342698,15364,,0,677
