position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",cuXcDlatA8g,2026-04-23T13:01:38Z,"2026-04-23 13:01:38","🐏 الخروف المغربي 2026: زيارة ضيعة الحولي السردي الكبير… واش الأثمنة معقولة😱",,,22,"People & Blogs",Lifestyle_(sociology),PT32M40S,1960,2d,hd,false,ar,ar,https://i.ytimg.com/vi/cuXcDlatA8g/maxresdefault.jpg,1,,,,,123817,3477,,0,382
2,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",cYIrLpG6SL4,2026-04-21T13:01:19Z,"2026-04-21 13:01:19"," من أوروبا إلى البادية 🇮🇹😱 شوفو كيفاش كانت ردة فعل رجل كبير في السن!!!🏕️",,,22,"People & Blogs",Lifestyle_(sociology),PT30M45S,1845,2d,hd,false,ar,ar,https://i.ytimg.com/vi/cYIrLpG6SL4/maxresdefault.jpg,1,,,,,113861,2851,,0,177
3,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",fl5Oqdqzr3E,2026-04-16T13:01:12Z,"2026-04-16 13:01:12","🔥 أثمنة حولي عيد الأضحى في المغرب 2026/04/16 |هل ابتداءً من 65 درهم للكيلو 😱",,,22,"People & Blogs",,PT33M6S,1986,2d,hd,false,ar,ar,https://i.ytimg.com/vi/fl5Oqdqzr3E/maxresdefault.jpg,1,,,,,239599,4959,,0,497
4,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",LQeCoVWBy8M,2026-04-14T12:55:36Z,"2026-04-14 12:55:36","يوم مع عائلتي | مشتريات السفر والتخييم من Decathlon 😍 شوفو شنو شريت!",,,22,"People & Blogs",Lifestyle_(sociology),PT28M54S,1734,2d,hd,false,ar,ar,https://i.ytimg.com/vi/LQeCoVWBy8M/maxresdefault.jpg,1,,,,,180724,4835,,0,417
5,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",kUU0l0VwjWY,2026-04-12T13:27:13Z,"2026-04-12 13:27:13","عشت يوماً مع الفلاحة 👨‍🌾… الفرق الكبير بين ثمن البيع والشراء صدمة! 💔 ضلم الفلاح المغربي…",,,22,"People & Blogs",,PT31M25S,1885,2d,hd,false,ar,ar,https://i.ytimg.com/vi/kUU0l0VwjWY/maxresdefault.jpg,1,,,,,232177,4586,,0,234
6,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",VwKyXxx6cog,2026-04-08T13:06:15Z,"2026-04-08 13:06:15","رحلة إلى البادية في الصويرة 🇲🇦 وتجربة ألذ سمك طازج 🔥اجواء الصيف",,,22,"People & Blogs","Food,Lifestyle_(sociology),Pet",PT31M39S,1899,2d,hd,false,ar,ar,https://i.ytimg.com/vi/VwKyXxx6cog/maxresdefault.jpg,1,,,,,182975,3837,,0,209
7,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",A-__rJiQ5JE,2026-04-05T13:00:23Z,"2026-04-05 13:00:23","رحلة إلى شياضمة 🇲🇦🔥 اكتشاف ألذ حلوى وتجربة أقوى مأكولات الشارع بطعم لا يُقاوم! 😍🍩",,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT37M4S,2224,2d,hd,false,ar,ar,https://i.ytimg.com/vi/A-__rJiQ5JE/maxresdefault.jpg,1,,,,,173011,4022,,0,319
8,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",oWd-okK70nA,2026-04-03T13:01:37Z,"2026-04-03 13:01:37"," جولة في سوق سيدي حجاج بمدينة سطات 🇲🇦 | كرم الضيافة وألذ مأكولات الشواء التقليدية 🔥",,"الحولي,عيد الاضحى,سلسلة الحولي,وثائقي",22,"People & Blogs",Lifestyle_(sociology),PT39M38S,2378,2d,hd,false,ar,ar,https://i.ytimg.com/vi/oWd-okK70nA/maxresdefault.jpg,1,,,,,217024,4899,,0,343
9,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",Vb9Qp2j2G0A,2026-03-31T13:00:00Z,"2026-03-31 13:00:00","رحلة ممتعة إلى البادية المغربية 🌿 وتحضير قصرية كسكس تقليدية بطعم زمان في أجواء عائلية رائعة 🇲🇦🍲",,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT25M53S,1553,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Vb9Qp2j2G0A/maxresdefault.jpg,1,,,,,215331,4346,,0,290
10,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",GZ0b72IZahY,2026-03-27T13:00:00Z,"2026-03-27 13:00:00","تعشيرة على سيارة احلامي 🚗 مع عائلتي الصغيرة😇",,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT30M31S,1831,2d,hd,false,ar,ar,https://i.ytimg.com/vi/GZ0b72IZahY/maxresdefault.jpg,1,,,,,246154,6296,,0,575
11,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",D1l-CfzwgMc,2026-03-18T13:12:27Z,"2026-03-18 13:12:27","و اخيرا اشتريت سيارة احلامي 🥳 عائللتي فرحات انتهت معانات السفر🇲🇦",,,22,"People & Blogs",Lifestyle_(sociology),PT28M25S,1705,2d,hd,false,ar,ar,https://i.ytimg.com/vi/D1l-CfzwgMc/maxresdefault.jpg,1,,,,,369653,14030,,0,1647
12,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",mw2_2wgcEUU,2026-03-12T12:05:33Z,"2026-03-12 12:05:33","أجواء العيد في المغرب 🇲🇦 خرجت مع بناتي نشتري ملابس العيد وفرحتهم لا توصف 🛍️ ✨",,,22,"People & Blogs",Lifestyle_(sociology),PT29M52S,1792,2d,hd,false,ar,ar,https://i.ytimg.com/vi/mw2_2wgcEUU/maxresdefault.jpg,1,,,,,242074,6034,,0,393
13,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",KPJaquq0YW4,2026-03-07T12:00:33Z,"2026-03-07 12:00:33","تحضير فطور رمضان 🍲 | طبخ الكرعين على الطريقة المغربية + كيكة فنزويلا الشهية 😋أجواء المطبخ الرمضاني🇲🇦",#رمضان,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT33M13S,1993,2d,hd,false,ar,ar,https://i.ytimg.com/vi/KPJaquq0YW4/maxresdefault.jpg,1,,,,,275412,6912,,0,562
14,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",jRX0-ijicIQ,2026-02-28T12:23:52Z,"2026-02-28 12:23:52","يوم في رمضان مع اجواء البادية فطور بلدي 🍽️ الطبيعة في…🇲🇦",,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT47M42S,2862,2d,hd,false,ar,ar,https://i.ytimg.com/vi/jRX0-ijicIQ/maxresdefault.jpg,1,,,,,223935,4803,,0,316
15,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",bfOyEuLeJP0,2026-02-23T12:05:40Z,"2026-02-23 12:05:40","أجواء رمضانية و تحضير الفطور مع بناتي يوم رائع🍽️ و تحضير وجبة اللحم مع الخرشف😊…",,,22,"People & Blogs","Food,Lifestyle_(sociology)",PT41M48S,2508,2d,hd,false,ar,ar,https://i.ytimg.com/vi/bfOyEuLeJP0/maxresdefault.jpg,1,,,,,210181,5041,,0,371
16,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",BGnTfEs0sjc,2026-02-18T11:58:06Z,"2026-02-18 11:58:06","استعدادنا لشهر رمضان بدأ! خرجت رفقة بناتي لاقتناء حاجيات الشهر الكريم رمضان🌘في أجواء عائلية رائعة🇲🇦 ",,,22,"People & Blogs",,PT33M9S,1989,2d,hd,false,ar,ar,https://i.ytimg.com/vi/BGnTfEs0sjc/maxresdefault.jpg,1,,,,,264096,6476,,0,417
17,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",ToazlS1FHjI,2026-02-14T11:00:44Z,"2026-02-14 11:00:44","أول خطوة في تحضيرات رمضان 🌘 — مشتريات أواني المطبخ اللي كل بيت محتاجها للشهر الكريم 🌙✨","تحضيرات رمضان، تجهيزات رمضان، مشتريات رمضان، أواني المطبخ رمضان، استعدادات رمضان، تجهيز المطبخ لرمضان، مشتريات المطبخ، طبخ رمضان، ماذا نشتري لرمضان، أفكار تحضيرات رمضان، تجهيز البيت لرمضان، مستلزمات رمضان، مشتريات ضرورية لرمضان، تجهيزات الشهر الكريم، تحضيرات رمضان في المطبخ، شنو نشتري لرمضان، تجهيزات رمضان للمطبخ، مشترياتي لرمضان، استعداد رمضان في البيت",,22,"People & Blogs","Food,Lifestyle_(sociology)",PT28M12S,1692,2d,hd,false,ar,ar,https://i.ytimg.com/vi/ToazlS1FHjI/maxresdefault.jpg,1,,,,,186583,4340,,0,359
18,UCM1DoNEgK4KTERa61tGxB5w,"مول الشفنجة",GLfVr8CdgW8,2026-02-10T12:49:31Z,"2026-02-10 12:49:31","تجربة اجواء البادية 🌻: رحلة يومية عبر الطبيعة الخلابة 🌿 والمشاهد التي تنبض بالحياة 🏡.",,"Ali & hanane",22,"People & Blogs",Lifestyle_(sociology),PT31M6S,1866,2d,hd,false,ar,ar,https://i.ytimg.com/vi/GLfVr8CdgW8/maxresdefault.jpg,1,,,,,239884,4728,,0,230
