position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",vYYRiq8e0uA,2026-04-17T18:25:50Z,"2026-04-17 18:25:50","Inside the Secret World of Football Agents - أسرار صفقات الكورة فالمغرب 🇲🇦⚽️",,,22,"People & Blogs","Association_football,Lifestyle_(sociology)",PT34M58S,2098,2d,hd,false,ar,ar,https://i.ytimg.com/vi/vYYRiq8e0uA/maxresdefault.jpg,1,,,,,146858,3429,,0,148
2,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",KQchSfDra1s,2026-04-11T13:57:37Z,"2026-04-11 13:57:37","ICONS OF PORSCHE FESTIVAL - جنة سيارة الپورشا 🚘",,,22,"People & Blogs","Lifestyle_(sociology),Vehicle",PT20M38S,1238,2d,hd,false,ar,ar,https://i.ytimg.com/vi/KQchSfDra1s/maxresdefault.jpg,1,,,,,156821,3756,,0,126
3,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",Y8t83gDXY9w,2026-04-05T13:57:07Z,"2026-04-05 13:57:07","FORUM NATIONAL DE L'ENSEIGNANT- أكثر من 3000 أستاذ(ة) في نفس المكان 👨🏻‍🏫📚",,,22,"People & Blogs",Society,PT38M2S,2282,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Y8t83gDXY9w/maxresdefault.jpg,1,,,,,98937,2608,,0,172
4,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",QVnfvXVgHcE,2026-04-01T17:04:13Z,"2026-04-01 17:04:13","FIRST SHOW ON TV - 2M وراء ستار برنامج في #Ntla9awFlaCan",,,22,"People & Blogs",Entertainment,PT38M47S,2327,2d,hd,false,ar,ar,https://i.ytimg.com/vi/QVnfvXVgHcE/maxresdefault.jpg,1,,,,,41276,1052,,0,57
5,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",UAAfs7ErSZg,2026-03-18T16:36:53Z,"2026-03-18 16:36:53","HISTORICAL DAY - ربحنا كأس إفريقيا من بعد شهرين ⚽️","Follow me on instagram : tahaessou",,22,"People & Blogs",Lifestyle_(sociology),PT26M24S,1584,2d,hd,false,ar,ar,https://i.ytimg.com/vi/UAAfs7ErSZg/maxresdefault.jpg,1,,,,,138564,3591,,0,198
6,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",D-9mz102RYs,2026-02-01T15:32:16Z,"2026-02-01 15:32:16","ROUNDTABLE CAN 2025 - اش ربحنا فهد كأس إفريقيا ؟ 🇲🇦⚽️","Follow me on instagram - tahaessou",,22,"People & Blogs","Association_football,Sport",PT1H59M10S,3550,2d,hd,false,ca,ar,https://i.ytimg.com/vi/D-9mz102RYs/maxresdefault.jpg,1,,,,,502598,13433,,0,2678
7,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",KvZJQAj3cJ4,2026-01-25T13:00:54Z,"2026-01-25 13:00:54","BTS Roundtable CAN 2025 - كواليس كأس إفريقيا 🇲🇦⚽️","Follow me on instagram - tahaessou",,22,"People & Blogs",Entertainment,PT10M51S,651,2d,hd,false,ar,ar,https://i.ytimg.com/vi/KvZJQAj3cJ4/maxresdefault.jpg,1,,,,,124886,3846,,0,152
8,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",5XajOtIpb1A,2026-01-15T20:45:40Z,"2026-01-15 20:45:40","AFCON FINALE AFTER 22 YEARS MOROCCO - NIGERIA أجواء هيستيرية بعد التأهل إلى نهائي كأس إفريقيا 🇲🇦🇳🇬",,,22,"People & Blogs","Association_football,Sport",PT28M29S,1709,2d,hd,false,ar,ar,https://i.ytimg.com/vi/5XajOtIpb1A/maxresdefault.jpg,1,,,,,412880,9879,,0,430
9,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",USm5EEuzsXc,2026-01-04T21:41:59Z,"2026-01-04 21:41:59","CAN 2025 MOROCCO 1-0 TANZANIA ⚽️🇲🇦مبروك علينا التأهل لربع نهائي كأس إفريقيا ","Follow me on instagram : tahaessou",,22,"People & Blogs","Association_football,Sport",PT17M35S,1055,2d,hd,false,ar,ar,https://i.ytimg.com/vi/USm5EEuzsXc/maxresdefault.jpg,1,,,,,271683,5918,,0,314
10,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",88rRxLuur50,2026-01-02T17:32:14Z,"2026-01-02 17:32:14","SHE JUST WON A CAR - ربحنا طوموبيل للوليدات 🚗","Follow me on instagram - tahaessou",,22,"People & Blogs",Lifestyle_(sociology),PT13M53S,833,2d,hd,false,ar,ar,https://i.ytimg.com/vi/88rRxLuur50/maxresdefault.jpg,1,,,,,172475,5019,,0,264
11,UCqUO3O-XAiM6vpC5qScVjww,"Taha Essou",0Cum0COTB74,2025-12-27T17:04:05Z,"2025-12-27 17:04:05","AFCON 2025 MAROC 1 - 1 MALI - عرضت على الوليدات يتفرجو معايا في الملعب 🇲🇦⚽️ #9addineDimaTay9ine","Follow me on instagram : tahaessou",,22,"People & Blogs","Association_football,Sport",PT28M43S,1723,2d,hd,false,ar,ar,https://i.ytimg.com/vi/0Cum0COTB74/maxresdefault.jpg,1,,,,,197515,4220,,0,223
