position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCJCVxCW1dzEvFnzqDUU498g,BIMO,b9QQviGyI-4,2026-04-08T17:54:07Z,"2026-04-08 17:54:07","رجعت لعائلة ماشي ديالي… وكنت السبب فكارثة","Sendwave : https://try.sendwave.com/kjap/r1o7hqdg ------------------------------------------------- Instagram : https://www.instagram.com/bilal_mouhouch","bimo,bimogamer,bilal,morrocan,youtuber,gamer,td7ek tkhser,memes,trolat,funny videos,stori time,storie time,story time",28,"Science & Technology",Action-adventure_game,PT11M16S,676,2d,hd,false,en,ar,https://i.ytimg.com/vi/b9QQviGyI-4/maxresdefault.jpg,1,,,,,316275,19109,,0,659
2,UCJCVxCW1dzEvFnzqDUU498g,BIMO,O1JMBFHBMoM,2026-03-18T22:42:36Z,"2026-03-18 22:42:36","المِصْرِيين عَالم آخر، أَغرَب تَعلِيقَاتْ قرِيت فحيِاتِي","احصل على 10 دولارات عند استخدام رمز الدعوة : BIMO Sendwave : https://try.sendwave.com/kjap/r1o7hqdg ------------------------------------------------- Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew,egypt",28,"Science & Technology",,PT11M1S,661,2d,hd,false,en,ar,https://i.ytimg.com/vi/O1JMBFHBMoM/maxresdefault.jpg,1,,,,,452820,27359,,0,1018
3,UCJCVxCW1dzEvFnzqDUU498g,BIMO,wjFQ0-Jnt7M,2026-03-10T21:40:39Z,"2026-03-10 21:40:39","صنعو بشر ما كيموتوش","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew",28,"Science & Technology",Society,PT10M55S,655,2d,hd,false,en,ar,https://i.ytimg.com/vi/wjFQ0-Jnt7M/maxresdefault.jpg,1,,,,,471365,25369,,0,723
4,UCJCVxCW1dzEvFnzqDUU498g,BIMO,CT3-UFe3YeI,2026-03-08T15:40:13Z,"2026-03-08 15:40:13","القانون الوحيد فدارنا: ما نهضرش مع الأم ديالي… حتى خالفتو💀","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew",28,"Science & Technology",,PT13M44S,824,2d,hd,false,en,ar,https://i.ytimg.com/vi/CT3-UFe3YeI/maxresdefault.jpg,1,,,,,531450,28862,,0,921
5,UCJCVxCW1dzEvFnzqDUU498g,BIMO,Bcjti-jVaxU,2026-02-24T16:24:16Z,"2026-02-24 16:24:16","بيمو الفلاح #1 : غنصَوبْ المَزرعَة السعِيدَة","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew",28,"Science & Technology",Lifestyle_(sociology),PT6M26S,386,2d,hd,false,en,ar,https://i.ytimg.com/vi/Bcjti-jVaxU/maxresdefault.jpg,1,,,,,211708,13984,,0,429
6,UCJCVxCW1dzEvFnzqDUU498g,BIMO,qgWMCiWFV8I,2026-02-23T21:03:10Z,"2026-02-23 21:03:10","FROM 0 TO HERO #1 : اكتشفت موهبة ضائعة 🤣","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance moto maroc,Facebook market place,theoldestvuew,freefire,freefire bimo,freefire maroc,freefirearabe",28,"Science & Technology","Action-adventure_game,Action_game,Role-playing_video_game,Video_game_culture",PT9M9S,549,2d,hd,false,en,ar,https://i.ytimg.com/vi/qgWMCiWFV8I/maxresdefault.jpg,1,,,,,198226,18030,,0,1499
7,UCJCVxCW1dzEvFnzqDUU498g,BIMO,ZXlyqHz6Fwo,2026-02-11T17:47:59Z,"2026-02-11 17:47:59","STORY TIME | سافرت لتركيا","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew",28,"Science & Technology",,PT18M37S,1117,2d,hd,false,en,ar,https://i.ytimg.com/vi/ZXlyqHz6Fwo/maxresdefault.jpg,1,,,,,592519,28734,,0,625
8,UCJCVxCW1dzEvFnzqDUU498g,BIMO,S4YFGyUZuGU,2026-02-01T17:00:43Z,"2026-02-01 17:00:43","هَاد لبلاَن كَتْعيشُو كُل نهَار","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew",28,"Science & Technology",,PT14M56S,896,2d,hd,false,en,ar,https://i.ytimg.com/vi/S4YFGyUZuGU/maxresdefault.jpg,1,,,,,353076,23915,,0,899
9,UCJCVxCW1dzEvFnzqDUU498g,BIMO,fVmTzouMv_s,2026-01-30T16:40:46Z,"2026-01-30 16:40:46","الحلقة الأخيرة : الحقيقة 💀","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew",28,"Science & Technology",,PT1H1M47S,107,2d,hd,false,en,ar,https://i.ytimg.com/vi/fVmTzouMv_s/maxresdefault.jpg,1,,,,,479690,24204,,0,1861
10,UCJCVxCW1dzEvFnzqDUU498g,BIMO,pyapyKNgRng,2026-01-06T19:40:38Z,"2026-01-06 19:40:38","الحلقة 3 : السِّر اللّي مخبّى تحت الدار💀","Facebook : https://web.facebook.com/biiilalo Instagram : https://www.instagram.com/bilal_mouhouch -------------------------------------------------","bimo,td7ek tkhser,memes,storie time,story time,ecommerce,ecommerce business,ecommerce website,ecommerce business beginners,ecommerce website wordpress,ecommerce 2022,ecommerce course,ecommerce dropshipping,ecommerce local maroc,ecommerce product,ecommerce laravel,ecommerce website in laravel,e commerce business,e commerce شرح,assurance vie,assurance de stage maroc,assurance voiture maroc,assurance moto maroc,Facebook market place,theoldestvuew,penpal",28,"Science & Technology",,PT18M16S,1096,2d,hd,false,en,ar,https://i.ytimg.com/vi/pyapyKNgRng/maxresdefault.jpg,1,,,,,382321,20089,,0,1097
