position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",6EuDpBEn7yg,2026-04-18T11:51:26Z,"2026-04-18 11:51:26","𝐇𝐎𝐔𝐒𝐄 𝐑𝐄𝐍𝐎𝐕𝐀𝐓𝐈𝐎𝐍 “𝐂𝐇𝐀𝐍𝐆𝐈𝐍𝐆 𝐓𝐇𝐄 𝐓𝐈𝐋𝐄𝐒” 👷‍♂️ #morocco #renovation","𝐇𝐎𝐔𝐒𝐄 𝐑𝐄𝐍𝐎𝐕𝐀𝐓𝐈𝐎𝐍 “𝐂𝐇𝐀𝐍𝐆𝐈𝐍𝐆 𝐓𝐇𝐄 𝐓𝐈𝐋𝐄𝐒” 👷‍♂️ I first thought that this renovation would take me 3 months but I’ve been proven wrong 😅 but finally, after 8 months, I can show you a big change and a first impression of what the house will look like 🏠 thanks to the tiles from Mall Zellij They have all types of tiles, from small to big, in every color and style, while having great prices. 🤩 We changed all the bathrooms to look more modern and calm, changed the entrance and living room to make it look bigger and of course, our terrace to give us that Bali vibe that we always wanted 🌴 ⚡️ 𝐌𝐀𝐓𝐙𝐀𝐏𝐄𝐒𝐇 ⚡️ #healthy #lifestyle #renovation #hometransformation #homerenovation",,19,"Travel & Events","Hobby,Lifestyle_(sociology)",PT1M6S,66,2d,hd,false,en,ar,https://i.ytimg.com/vi/6EuDpBEn7yg/maxresdefault.jpg,1,,,,,322168,5331,,0,82
2,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",YIsGRZ2AerE,2026-04-13T11:37:32Z,"2026-04-13 11:37:32","𝐒𝐌𝐀𝐋𝐋 𝐇𝐀𝐁𝐈𝐓𝐒 𝐀𝐑𝐄 𝐓𝐇𝐄 𝐎𝐍𝐄𝐒 𝐓𝐇𝐀𝐓 𝐌𝐀𝐊𝐄 𝐓𝐇𝐄 𝐃𝐈𝐅𝐅𝐄𝐑𝐄𝐍𝐂𝐄 🪥","𝐒𝐌𝐀𝐋𝐋 𝐇𝐀𝐁𝐈𝐓𝐒 𝐀𝐑𝐄 𝐓𝐇𝐄 𝐎𝐍𝐄𝐒 𝐓𝐇𝐀𝐓 𝐌𝐀𝐊𝐄 𝐓𝐇𝐄 𝐃𝐈𝐅𝐅𝐄𝐑𝐄𝐍𝐂𝐄 🪥 As kids, we always want to do what we want and rarely listen to our parents 😂 — especially when it comes to brushing our teeth 🦷. I was definitely one of them, always avoiding brushing, and now that I think about it… it’s a bit meeeeh. For a while now, I’ve been using electric toothbrushes, and they’re honestly a game changer! I’m currently using the Oral-B iO 3 🪥 by OralB Maroc, which makes everything easier thanks to its pressure sensor, 2-minute timer, and 3 brushing modes 🙌🏽. I can definitely recommend it — even after just one week, your teeth already feel 100% cleaner, and it’s clinically proven 👌🏼 ⚡️𝐌𝐀𝐓𝐙𝐀𝐏𝐄𝐒𝐇⚡️",,19,"Travel & Events",Lifestyle_(sociology),PT53S,53,2d,hd,false,en,ar,https://i.ytimg.com/vi/YIsGRZ2AerE/maxresdefault.jpg,1,,,,,484311,8676,,0,87
3,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",XVJVMPdO_04,2026-04-12T11:48:16Z,"2026-04-12 11:48:16","𝐀 𝐃𝐀𝐘 𝐈𝐍 𝐌𝐘 𝐋𝐈𝐅𝐄 “𝐁𝐔𝐒𝐘 𝐖𝐄𝐄𝐊𝐄𝐍𝐃” 😎 #healthylifestyle #vlog #goodvibes #fun","𝐀 𝐃𝐀𝐘 𝐈𝐍 𝐌𝐘 𝐋𝐈𝐅𝐄 “𝐁𝐔𝐒𝐘 𝐖𝐄𝐄𝐊𝐄𝐍𝐃” 😎 It’s been a while since I posted a mini vlog… To be honest, I got lazy filming these type of videos because I felt like it was always the same thing, same angles 📹, same food 🌮, same dance 🕺🏽, same work 👨🏽‍💻… but at the end of the day, that’s my life 😂 I recently read a message on my DM’s of someone telling me: Why is the “influencer life” so perfect? And my honest answer was: It’s not, we only show exciting things that happen maybe 20% of the time, the rest is just boring daily to do’s 😆 Sooo I got inspired and wanted to film a new mini vlog again, sharing good vibes, good food and a few dance moves 🕺🏽 How is your day going ? ⚡️ 𝐌𝐀𝐓𝐙𝐀𝐏𝐄𝐒𝐇 ⚡️ #healthy #lifestyle #goodvibes #vlog #adayinthelife",,19,"Travel & Events","Food,Lifestyle_(sociology)",PT57S,57,2d,hd,false,en,ar,https://i.ytimg.com/vi/XVJVMPdO_04/maxresdefault.jpg,1,,,,,318016,5939,,0,117
4,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",wAQLLOfHk2I,2026-04-11T11:52:57Z,"2026-04-11 11:52:57","Épisode jdid fe la chaîne 🤩 #morocco #fun #funny #arabic #mahamawda #mambahfit",,,19,"Travel & Events","Entertainment,Film",PT35S,35,2d,hd,false,fr,ar,https://i.ytimg.com/vi/wAQLLOfHk2I/maxresdefault.jpg,1,,,,,14738,195,,0,4
5,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",zfsONSTwFgI,2026-04-11T11:31:00Z,"2026-04-11 11:31:00","TIK TIK TELEBOUTIK EP5 ☎️ ft Mahamawda","مرحبا بكم في Tik Tik Teleboutik! 📞🔥 جوج ديال الكرياتورز، تليفون حمر، والـ community ديالي هي اللي كتحكم فاللّعبة. فهاد الحلقة معايا @moodinmaze فكل راوند، كنعيطو لواحد من المتابعين. كيجينا واحد الكلمة، وممنوع نقولوها، وخاصنا نخليّو اللي فالتليفون يگول الكلمة بلا ما نذكروها. كتبان سهلة… حتى كتبدأ تعصّب 😂 كل كلمة صحيحة = بوان. وفالآخر، اللي كيجمع أكثر نقاط هو اللي كيربح. 🏆 ⚡️ 𝐌𝐀𝐓𝐙𝐀𝐏𝐄𝐒𝐇 ⚡️ #fun #funny #entretainement #morocco #mahamawda #mambahfit #arabic","lifestyle,entertainment,fun,funny,game,games,morocco,arabic,teleboutique,mambah fit,mamba,mamba fit,matzapesh,matzapich,matzapech,matzapish,concept,creators,moroccan creators,moroccan influencers,TikTikTeleboutik,GuessTheWord,RedPhoneChallenge,PhoneGame,FunnyMoments,MoroccanYouTube,GameShow,ArabicContent,VibesOnly,good vibes,Darija,mahamawda,reactions",24,Entertainment,,PT31M55S,1915,2d,hd,false,ar,ar,https://i.ytimg.com/vi/zfsONSTwFgI/maxresdefault.jpg,1,,,,,135941,5788,,0,257
6,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",5725re-yg6s,2026-04-07T12:38:34Z,"2026-04-07 12:38:34","Having fun is part of the process 🤣 #morocco #funny #renovation #fun #houserenovation","This is the reason why the home renovation is taking sooo long 🤣 #lifestyle #renovation #fun #funny #homerenovation",,19,"Travel & Events",Lifestyle_(sociology),PT9S,9,2d,hd,false,en,ar,https://i.ytimg.com/vi/5725re-yg6s/maxresdefault.jpg,1,,,,,367168,2665,,0,47
7,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",33Ymxevf5Cg,2026-04-02T11:30:02Z,"2026-04-02 11:30:02","𝐇𝐈𝐆𝐇 𝐏𝐑𝐎𝐓𝐄𝐈𝐍 𝐁𝐔𝐑𝐑𝐈𝐓𝐎 🌯 #food #cooking #fun #recipe #funny #protein #easyrecipe","𝐇𝐈𝐆𝐇 𝐏𝐑𝐎𝐓𝐄𝐈𝐍 𝐁𝐔𝐑𝐑𝐈𝐓𝐎 🌯 First time I made this was during Ramadan, and after that I think I made it over 6-7 times 🤣 Quick tip 💡: start by grabbing all your ingredients, and weight them, it makes the preparation easier and faster. 𝐈𝐧𝐠𝐫𝐞𝐝𝐢𝐞𝐧𝐭𝐬 𝐟𝐨𝐫 𝐨𝐧𝐞 𝐬𝐞𝐫𝐯𝐢𝐧𝐠: - 150g low fat meat - 1 Corn Tortilla - 1 red pepper - 1/2 ognion - A little bit of Corn - Some red lentils - Green salade - Mexican spice 𝐈𝐧𝐠𝐫𝐞𝐝𝐢𝐞𝐧𝐭𝐬 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐠𝐮𝐚𝐜𝐚𝐦𝐨𝐥𝐞 🥑 - 1 avocado - 1 Tomato - Garlic/Ognion/Salt spice - Lemon juice Make sure to cook the meat for at least 30 minutes 🔥 ⚡️𝐌𝐀𝐓𝐙𝐀𝐏𝐄𝐒𝐇⚡️ #healthy #recipe #cooking",,19,"Travel & Events","Food,Lifestyle_(sociology)",PT1M5S,65,2d,hd,false,en,ar,https://i.ytimg.com/vi/33Ymxevf5Cg/maxresdefault.jpg,1,,,,,31563,1030,,0,22
8,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",YBsu24PQ_mc,2026-04-01T12:18:10Z,"2026-04-01 12:18:10","En poste likoum el recette? 🤪 #cooking #burrito #healthy #food #lifestyle",,,19,"Travel & Events","Food,Lifestyle_(sociology)",PT13S,13,2d,hd,false,fr,ar,https://i.ytimg.com/vi/YBsu24PQ_mc/maxresdefault.jpg,1,,,,,35765,409,,0,6
9,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",8Fbtg0M56fE,2026-03-30T16:45:57Z,"2026-03-30 16:45:57","Chkoun bgha atay? 😎🕺🏽 #morocco #fun #dance #arabic #atay #food","I can eat everything as long as there is Atay 🫖🤣 #fun #funny #morocco #food #atay",,19,"Travel & Events","Entertainment,Food",PT14S,14,2d,hd,false,en,ar,https://i.ytimg.com/vi/8Fbtg0M56fE/maxresdefault.jpg,1,,,,,1346309,7993,,0,69
10,UCFqnvxz2f7J2cmTo_j0XMpA,"Mambah Fit",3L_dj1nffc4,2026-03-28T11:42:42Z,"2026-03-28 11:42:42","QTA3T EL CAR MEN DAR 🇲🇦 - EP3 - أحسن بلاصة فالمغرب #morocco #travel #taghazout #fun #beach #surf","𝐓𝐑𝐀𝐕𝐄𝐋 𝐀𝐑𝐎𝐔𝐍𝐃 𝐌𝐎𝐑𝐎𝐂𝐂𝐎 🇲🇦 When I first started this journey, I didn’t think it was going to be that intense 🤩 Everywhere I go, I end up meeting so many of you guys, get to experience different activities and discover my country in a gamified way 🕺🏽 This episode was all about Taghazout 🌴, one of my favorite places in Morocco! I got to surf with Elhfaoui, cook a tajine at the beach with Simo Taki and finish the day with an amazing campfire 🔥 Special thanks to @markoub.ma for supporting this journey 🚌! If you want to book a bus ticket, the best way to do it is using Markoub.ma with the CODE: MAMBAH10 for 10% OFF your first booking! This offer is available till end of April 🙏🏽 ⚡️𝐌𝐀𝐓𝐙𝐀𝐏𝐄𝐒𝐇⚡️ #healthy #lifestyle #travel #morocco #fun",,19,"Travel & Events","Lifestyle_(sociology),Tourism",PT47S,47,2d,hd,false,en,ar,https://i.ytimg.com/vi/3L_dj1nffc4/maxresdefault.jpg,1,,,,,129854,2448,,0,50
