position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",gZqj-DChWI8,2026-04-26T15:42:14Z,"2026-04-26 15:42:14","عملية اغتـ.ـيـ.ـال ترامب !!","مليون زائر شهريا , زر موقع مساحة 👇🏼 http://misaha.com لو أعجبك المحتوى تستطيع دعمي لاستمر paypal.me/misahav حساباتي🥰👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,"Politics,Society",PT11M,660,2d,hd,false,ar,ar,https://i.ytimg.com/vi/gZqj-DChWI8/maxresdefault.jpg,1,,,,,65936,5876,,0,383
2,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",Zj7QytZjj3U,2026-04-24T18:27:31Z,"2026-04-24 18:27:31","أمجد يوسف , أين وجدوه ؟ وكيف استطاعو القبض عليه ؟❌","مليون زائر شهريا , زر موقع مساحة 👇🏼 http://misaha.com لو أعجبك المحتوى تستطيع دعمي لاستمر paypal.me/misahav حساباتي🥰👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,Society,PT11M51S,711,2d,hd,false,ar,ar,https://i.ytimg.com/vi/Zj7QytZjj3U/maxresdefault.jpg,1,,,,,394593,26510,,0,2599
3,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",StxFv6cLz_I,2026-04-19T11:39:22Z,"2026-04-19 11:39:22","كَابُل | مقـبر.ة المـد.منين في أفغانستان 🇦🇫💀ُ","يمكنك الانتساب للقناة من هنا 👇🏼 https://www.youtube.com/channel/UCAHfrKOebWz6_23eKKm9vqw/join ----------------------------------- متجر تيشرتاتي 👇🏼 https://misaha-brand.creator-spring.com/listing/loveconversation?product=389 --------------------------------------- قناتي الثانية @MisahaPlus https://www.youtube.com/@MisahaPlus --------------------------------------- حساباتي👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,Society,PT20M22S,1222,2d,hd,false,ar,ar,https://i.ytimg.com/vi/StxFv6cLz_I/maxresdefault.jpg,1,,,,,222591,9580,,0,791
4,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",eKAJXkfJMqk,2026-04-16T16:00:05Z,"2026-04-16 16:00:05","أيفــون 18 , آبل تقلب الطاولة وتصدم العالم 💀📲","يمكنك الانتساب للقناة من هنا 👇🏼 https://www.youtube.com/channel/UCAHfrKOebWz6_23eKKm9vqw/join ----------------------------------- متجر تيشرتاتي 👇🏼 https://misaha-brand.creator-spring.com/listing/loveconversation?product=389 --------------------------------------- قناتي الثانية @MisahaPlus https://www.youtube.com/@MisahaPlus --------------------------------------- حساباتي👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,Technology,PT13M24S,804,2d,hd,false,ar,ar,,1,,,,,138259,5887,,0,409
5,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",mvzgiYJSLKg,2026-04-13T15:03:04Z,"2026-04-13 15:03:04","أخطر طائرة أمريكية , كيف أسقطتها إيران 🇮🇷 ؟","مليون زائر شهريا , زر موقع مساحة 👇🏼 http://misaha.com لو أعجبك المحتوى تستطيع دعمي لاستمر paypal.me/misahav حساباتي🥰👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,,PT14M37S,877,2d,hd,false,ar,ar,https://i.ytimg.com/vi/mvzgiYJSLKg/maxresdefault.jpg,1,,,,,228285,8968,,0,657
6,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",Q0EpIcpH1Z8,2026-04-11T17:10:11Z,"2026-04-11 17:10:11","كيف أصبح NFT أكبر عملية نصب في تاريخ الانترنت ؟","يمكنك الانتساب للقناة من هنا 👇🏼 https://www.youtube.com/channel/UCAHfrKOebWz6_23eKKm9vqw/join ----------------------------------- متجر تيشرتاتي 👇🏼 https://misaha-brand.creator-spring.com/listing/loveconversation?product=389 --------------------------------------- قناتي الثانية @MisahaPlus https://www.youtube.com/@MisahaPlus --------------------------------------- حساباتي👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,,PT15M32S,932,2d,hd,false,ar,ar,,1,,,,,228298,9464,,0,392
7,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",A2cCHos7jUQ,2026-04-09T17:57:29Z,"2026-04-09 17:57:29","هل سيطرد الخليج القواعد الأمريكية ؟ إسألني","مليون زائر شهريا , زر موقع مساحة 👇🏼 http://misaha.com لو أعجبك المحتوى تستطيع دعمي لاستمر paypal.me/misahav حساباتي🥰👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,"Politics,Society",PT18M33S,1113,2d,hd,false,ar,ar,https://i.ytimg.com/vi/A2cCHos7jUQ/maxresdefault.jpg,1,,,,,195388,10424,,0,884
8,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",NJ5wLKkNFWY,2026-03-07T15:15:55Z,"2026-03-07 15:15:55","الدول العربية في ورطــة 🚯","يمكنك الانتساب للقناة من هنا 👇🏼 https://www.youtube.com/channel/UCAHfrKOebWz6_23eKKm9vqw/join ----------------------------------- متجر تيشرتاتي 👇🏼 https://misaha-brand.creator-spring.com/listing/loveconversation?product=389 --------------------------------------- قناتي الثانية @MisahaPlus https://www.youtube.com/@MisahaPlus --------------------------------------- حساباتي👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,"Politics,Society",PT20M58S,1258,2d,hd,false,ar,ar,https://i.ytimg.com/vi/NJ5wLKkNFWY/maxresdefault.jpg,1,,,,,443964,27463,,0,4501
9,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",frEVaK7fK0M,2026-03-01T21:15:34Z,"2026-03-01 21:15:34","كيف تم العثور على خامنئي واغتـ""ـياله ؟",,"youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,"Politics,Society",PT18M28S,1108,2d,hd,false,ar,ar,https://i.ytimg.com/vi/frEVaK7fK0M/maxresdefault.jpg,1,,,,,495543,32280,,0,2860
10,UCAHfrKOebWz6_23eKKm9vqw,"Misaha | مساحة",oO4G7bNO6nM,2026-02-28T19:45:09Z,"2026-02-28 19:45:09","الخليج يشتـ""ـعل , ليلة إيران الأخيرة !!","يمكنك الانتساب للقناة من هنا 👇🏼 https://www.youtube.com/channel/UCAHfrKOebWz6_23eKKm9vqw/join ----------------------------------- متجر تيشرتاتي 👇🏼 https://misaha-brand.creator-spring.com/listing/loveconversation?product=389 --------------------------------------- قناتي الثانية @MisahaPlus https://www.youtube.com/@MisahaPlus --------------------------------------- حساباتي👇🏼 http://misaha.com/instagram انستقرام http://misaha.com/Facebook فيسبوك http://misaha.com/twitter تويتر https://vm.tiktok.com/ZSJW5HYno/ تيك توك","youssef aabou,يوسف أعبو,misaha,misaha channel,قناة مساحة,مساحة,youssef,aabou,يوسف مساحة,المغرب,يوتيوب المغرب",24,Entertainment,"Politics,Society",PT12M23S,743,2d,hd,false,ar,ar,https://i.ytimg.com/vi/oO4G7bNO6nM/maxresdefault.jpg,1,,,,,599340,24410,,0,2430
