position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,hasPaidProductPlacement,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,8qeLctB9Rco,2026-04-18T20:15:57Z,"2026-04-18 20:15:57","نهاية صاادمة لممثل مشهور بسبب خيانته لزوجته 🇰🇷","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Lifestyle_(sociology),PT44M29S,2669,2d,hd,false,ar,ar,,1,,,,,988918,51276,,0,7273
2,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,dDl6V9TWA5o,2026-04-09T19:00:29Z,"2026-04-09 19:00:29","علاقة مع ممثلة إبا حية تنتهي بجريـمه صاادمة ‼️","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT43M23S,2603,2d,hd,false,ar,ar,https://i.ytimg.com/vi/dDl6V9TWA5o/maxresdefault.jpg,1,,,,,1364300,81855,,0,11376
3,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,yfsJFaNGjwE,2026-02-08T19:30:09Z,"2026-02-08 19:30:09","اختفاء مارك يكشف سِر اخطر طائفة في العالم 🪦💀","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Society,PT1H48M48S,2928,2d,hd,false,ar,ar,,1,,,,,2175168,81989,,0,7871
4,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,Ty86vscBr74,2026-01-20T19:17:24Z,"2026-01-20 19:17:24","جثـة في سَيارة مغنّي مشهور مع ڤيديوات و صُوَر صاادمة 💀","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT1H2M54S,174,2d,hd,false,ar,ar,,1,,,,,1785969,63429,,0,6061
5,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,3CdO8ZraQA4,2025-12-31T20:00:02Z,"2025-12-31 20:00:02","شنو وقع فالعشاء الاخير ديال أشهر ممثل صيني؟ 🇨🇳","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Entertainment,PT1H13M27S,807,2d,hd,false,ar,ar,,1,,,,,2094371,88303,,0,6857
6,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,MgnBz6RR_WM,2025-12-21T21:11:09Z,"2025-12-21 21:11:09","رسالة مجهولة تحل لغز مقتل ماري بسُمّ نادر ✉️💊","Sahar Makar ⬇️ WhatsApp: https://wa.me/message/XWXTJS7ZE5LOP1 Instagram: https://www.instagram.com/sahar_nutritionniste?igsh=MXB4dzcwM3VtNG1yNA%3D%3D&utm_source=qr Youtube: https://youtube.com/@Sahardiet?si=9sUtKw0tiuIM1ie-","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Society,PT33M4S,1984,2d,hd,false,ar,ar,,1,,,,,1331672,53446,,0,5111
7,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,X5OYMgtxHy8,2025-12-17T20:44:29Z,"2025-12-17 20:44:29","شنو وقع للمؤثرة الجميلة كتالينا؟ + قضية عائشة الغامضة 🇲🇦🇦🇷","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT37M36S,2256,2d,hd,false,ar,ar,,1,,,,,1625574,63807,,0,6731
8,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,fkeTAhc4Cwo,2025-12-07T21:17:39Z,"2025-12-07 21:17:39","اتصال 911 صاادم يحل لغز مقتل بيتسي بعد سنوات 🔪☎️","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT46M27S,2787,2d,hd,false,ar,ar,,1,,,,,1444601,61572,,0,4574
9,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,uW7X8On5Kiw,2025-11-28T20:32:54Z,"2025-11-28 20:32:54","اختفاء مايكل بعد موعد غرامي في المقبرة و النهاية صادمة 🪦","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Entertainment,PT47M33S,2853,2d,hd,false,ar,ar,,1,,,,,1559244,63717,,0,4122
10,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,CPglyxrQrnA,2025-11-12T19:30:04Z,"2025-11-12 19:30:04","مشهورة برازيلية تزوجات بولدها و تبناو 55 طفل لسبب خطيير و صاادم 🇧🇷","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Lifestyle_(sociology),PT43M1S,2581,2d,hd,false,ar,ar,,1,,,,,1535829,67239,,0,8319
11,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,l3k9MCYwjcQ,2025-11-08T19:00:43Z,"2025-11-08 19:00:43","شيماء لقاوها مْعـلقة فالسطح و تيليفونها كشف سِر صاادم 🇲🇦🔞","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT22M1S,1321,2d,hd,false,ar,ar,,1,,,,,2042685,83345,,0,5045
12,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,MiAZ2bGmXFQ,2025-10-30T21:00:03Z,"2025-10-30 21:00:03","جدّة حنونة أم أخطر قااتلة متسلسلة؟ ⚰️👵🏻","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT1H18M39S,1119,2d,hd,false,ar,ar,,1,,,,,2146614,120365,,0,10771
13,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,Pe2Ombe4u0M,2025-10-22T19:30:04Z,"2025-10-22 19:30:04","دُمَى بشـرية مُخيفة في بيت أستاد جامعي و السبب صاادم ⚰️🧸","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,,PT35M5S,2105,2d,hd,false,ar,ar,,1,,,,,1523067,110517,,0,8011
14,UCLcXeKotX5iu7nIjDUkRUyQ,SAFAA,RcuWCSHI2pY,2025-10-17T20:46:18Z,"2025-10-17 20:46:18","قصة حب بين أشهر ممثل صيني و فان ديالو سالات بكاارثة 🇨🇳‼️","HEY HBIZAT & HBIZIN 📸 MY INSTAGRAM : thisissafaa 📧 MY EMAIL: inspiresafaa@gmail.com ♥ I LOVE YOU ALL","safaa,sofy,SAFAA,kwili,senpai,lemo,khalafzone,Kharraz,stories",24,Entertainment,Entertainment,PT25M35S,1535,2d,hd,false,ar,ar,,1,,,,,1314963,63217,,0,7348
